id,external_gene_name,Regulation_Grouping_2,Integrated padj (PBRM1-BAP1),Integrated pval (PBRM1-BAP1),Integrated diff (PBRM1-BAP1),mannwhitneyu stat (PBRM1-BAP1),Integrated mean (BAP1),Integrated mean (PBRM1),Protein-LogFC mean (PBRM1-BAP1),RNA-LogFC mean (PBRM1-BAP1),CpG-LogFC mean (PBRM1-BAP1),hgnc_symbol,entrezgene_id,Locus,logFC_rna,padj_rna,CpG_Beta_diff,padj_meth,logFC_protein,padj_protein
ENSG00000000005,TNMD,TPDS_TMDE,0.2670903452017957,0.09385780440541974,-0.1824862509965897,160.0,0.07062319,-0.11186306,0.0,-0.6837606407989417,-0.07954733645235497,TNMD,64102.0,cg16822540,-1.2249283459782099,2.2764782331531597e-09,-0.3227685604953261,1.57533766452278e-36,0.0,1.0
ENSG00000003096,KLHL13,TPDS_TMDE,0.4916004830104884,0.470828631615679,0.00017309188842773438,211.0,1.3362206,1.3363937,-0.0027393025366624357,0.2584077469156387,-0.02237765033400066,KLHL13,90293.0,cg03910337,-1.9951144778543002,2.0574945535529398e-98,-0.0736191831446873,3.9732756442575793e-25,-0.334346029971229,1.8768901571558895e-26
ENSG00000004939,SLC4A1,TPDS_TMDE,0.3342612938630719,0.15277153501206595,0.16398215293884275,172.0,1.019274,1.1832561000000001,-0.2830393913493923,-0.2421042122272956,0.009540567867335271,SLC4A1,6521.0,cg04433322,-5.779428343848551,1.2472092309834695e-104,-0.1292982133259105,5.495074519261889e-25,1.36812729953255,1.08297404878098e-31
ENSG00000005001,PRSS22,TPDS_TMDE,0.4393889198690334,0.32149654066473643,-0.028082966804504398,195.0,-0.7472404,-0.7753234,0.0,-0.014635498056720932,0.013873167447730513,PRSS22,64063.0,cg06186790,-5.086436325123651,2.4613519655940897e-64,-0.1687638866267185,2.22298870900669e-31,0.0,1.0
ENSG00000006071,ABCC8,TPDS_TMDE,0.3472458818607563,0.16457498485372465,0.1658904254436493,174.0,-0.47664315,-0.31075272,0.0,0.012635331000679484,0.009451419504232785,ABCC8,6833.0,cg14051368,-1.7554684742392799,4.8091268685824006e-24,-0.1337942818810536,8.15603080646628e-34,0.0,1.0
ENSG00000006432,MAP3K9,TPDS_TMDE,0.06543924780277949,0.003917138072701589,-0.5668125152587891,105.0,0.026154961,-0.5406576,0.0,-0.5550320797545543,-0.0017127355679022185,MAP3K9,4293.0,cg12814766,-1.8532844532413402,1.0493443433912398e-71,-0.0894382298706881,8.297450747379418e-50,0.0,1.0
ENSG00000007001,UPP2,TPDS_TMDE,0.3241803917845065,0.14154355134253102,-0.23280879855155945,170.0,-0.28561214,-0.51842093,0.0,-0.2299137997298017,-0.0724871547385929,UPP2,151531.0,cg07151747,-3.7964894359740096,3.968772761524799e-143,-0.0982442864594918,1.23935839693028e-10,0.0,1.0
ENSG00000007516,BAIAP3,TPDS_TMDE,0.02179479026675033,0.0001841813261978901,0.39005300402641296,68.0,0.017762939,0.40781593,0.0,0.5390339407470887,-0.0217193434979554,BAIAP3,8938.0,cg06161600,-1.07474926834746,5.7603870538080796e-21,-0.2850776841912397,2.4192314486949193e-76,0.0,1.0
ENSG00000008226,DLEC1,TPDS_TMDE,0.23854249400621744,0.06215543857908482,-0.30667734146118164,151.0,0.21895488,-0.087722465,0.0,-0.15782470458779252,-0.04244593043412282,DLEC1,9940.0,cg13063313,-1.41783142788036,6.313062368270019e-66,-0.1543438542572117,3.30149062502278e-63,0.0,1.0
ENSG00000010319,SEMA3G,TPDS_TMDE,0.20940819165926255,0.04615828449954169,0.08834671974182129,145.0,1.2025566,1.2909033,0.1904515013381676,0.5897979853440187,-0.027305309792076488,SEMA3G,56920.0,cg08448751,-1.01182833166427,4.2789351793008985e-12,-0.1242545907103508,1.5262745126983602e-44,-0.0529930516600759,0.287316676694551
ENSG00000011347,SYT7,TPDS_TMDE,0.20940819165926255,0.04615828449954169,0.25971949100494385,145.0,0.84579253,1.105512,0.12372855305188718,-0.10600664562529928,0.009708517973562286,SYT7,9066.0,cg13027727,-3.7691030611419998,1.6892332352370396e-80,-0.1604704025170886,4.233763449954739e-51,-0.0901124607455372,0.26981800504923104
ENSG00000013297,CLDN11,TPDS_TMDE,0.3299553178216353,0.14708571562048955,0.1548895686864853,171.0,-0.33325058,-0.17836101,0.0,-0.08991342936851465,-0.04824680351494842,CLDN11,5010.0,cg25620760,-1.8435312223426399,2.5986495991524902e-25,-0.2828802694225786,9.141728422439988e-77,0.0,1.0
ENSG00000019549,SNAI2,TPDS_TMDE,0.40556583724082,0.2550495018704594,0.08483409881591797,187.0,1.0472834999999998,1.1321176000000002,0.012723341966673863,0.26250979094108073,0.014189132730082578,SNAI2,6591.0,cg09881855,-1.01603808531171,8.86300680687276e-18,0.0456956564368662,4.827252421301279e-27,-0.0178335538775009,0.786890922901631
ENSG00000022556,NLRP2,TPDS_TMDE,0.13259381787834126,0.016901042983084345,-0.3745653033256531,127.0,0.16907045,-0.20549487,0.0,-0.5543964686950418,0.00428027929552352,NLRP2,55655.0,cg06607594,-1.6364598983237202,7.95510066819441e-21,-0.1590857417972847,6.007809656609729e-50,0.0,1.0
ENSG00000023171,GRAMD1B,TPDS_TMDE,0.3472458818607563,0.16457498485372465,0.09390723705291748,174.0,1.1120002,1.2059075000000001,0.08865395172198902,-0.2712015361242948,0.0,GRAMD1B,57476.0,0,-2.13145103933293,5.86260672476335e-67,0.0,1.0,-0.33107517107764806,5.438630005649259e-12
ENSG00000023330,ALAS1,TPDS_TMDE,0.2281768515547862,0.05640146119417602,0.08475017547607422,149.0,1.0921218000000001,1.176872,0.1464603619281682,-0.08169033076754251,0.0,ALAS1,211.0,0,-1.019283407371,1.8217182122637897e-128,0.0,1.0,-0.252359562216876,2.0369601805112102e-10
ENSG00000027644,INSRR,TPDS_TMDE,0.3574317685610201,0.17695389668901207,-0.3404108285903931,176.0,-0.6793448000000001,-1.0197556,0.0,-0.5488694618315133,0.0024055844913547994,INSRR,3645.0,cg20673279,-3.8808410089665895,9.950962650203339e-50,-0.0124838493408684,2.3340819712937898e-15,0.0,1.0
ENSG00000035720,STAP1,TPDS_TMDE,0.35026519539647344,0.1706926163481406,0.05246162414550781,175.0,1.1292686,1.1817303,0.0074234516101182035,-0.3478317068044352,-0.01464143764346909,STAP1,26228.0,cg04398282,-3.24222333276081,6.289468775020119e-100,-0.1356508822333646,9.65619387373579e-47,-0.36498352630948,2.2883528838865103e-15
ENSG00000036448,MYOM2,TPDS_TMDE,0.3621264375520452,0.1833583863379722,0.07020401954650879,177.0,1.1617533000000002,1.2319573,-0.02514524561857973,0.4991640320887058,0.058624898797268565,MYOM2,9172.0,cg09584650,-1.90546936632271,3.4194080572759094e-87,-0.3047257575074934,7.61687817467504e-42,-0.14910237924008402,0.0070445533592929
ENSG00000041515,MYO16,TPDS_TMDE,0.13053977919362508,0.0159037900003501,-0.2082097977399826,126.0,0.23943974,0.031229937000000003,0.0,-0.045479165335721605,0.01413593226015561,MYO16,23026.0,cg27651090,-1.18666377757599,3.4408311666438596e-16,-0.1866806496837089,1.2335955048995498e-55,0.0,1.0
ENSG00000047597,XK,TPDS_TMDE,0.08862455616347831,0.00786386906802695,-0.4877886176109314,115.0,0.25609767,-0.23169093,0.0,-0.4199096205736362,-0.050417597785114766,XK,7504.0,cg01760227,-1.3123440572626899,5.92180805929159e-11,-0.1097000323013265,1.39322625518793e-10,0.0,1.0
ENSG00000047662,FAM184B,TPDS_TMDE,0.4871355848654149,0.4514580490724549,0.0046590566635131845,209.0,1.2800651,1.2847241000000003,0.019988732338877685,0.0004527160312099987,0.00739735885747598,FAM184B,27146.0,cg07696699,-1.4312257352495101,1.0233325216443998e-87,0.0619626615509865,2.4390994809531e-16,-0.19588943813568696,2.9173036244190995e-37
