Regulatory Cluster label,Cell type,p-value,odds-ratio,genes in cell type and cluster,genes in cluster but not cell type,genes in cell type but not cluster,genes not in cell type or cluster,gene_ids,gene_names,p.adj
MDS (-),CD45- PAX8+ renal epithelium,0.0060455711546796385,3.7490196078431373,16,5,204,239,ENSG00000253313 ENSG00000114378 ENSG00000099812 ENSG00000143845 ENSG00000004776 ENSG00000134873 ENSG00000130988 ENSG00000076258 ENSG00000079337 ENSG00000168306 ENSG00000136883 ENSG00000131771 ENSG00000124253 ENSG00000176387 ENSG00000171759 ENSG00000139055,C1orf210 HYAL1 MISP ETNK2 HSPB6 CLDN10 RGN FMO4 RAPGEF3 ACOX2 KIF12 PPP1R1B PCK1 HSD11B2 PAH ERP27,0.03546735077412055
MDE (-),CD4+ Naive,0.0035782949921135004,6.552795031055901,5,23,14,422,ENSG00000196405 ENSG00000130755 ENSG00000179144 ENSG00000213203 ENSG00000133574,EVL GMFG GIMAP7 GIMAP1 GIMAP4,0.02422230456199908
MDE (-),CD8A+ Exhausted,0.00032905505861898616,13.322981366459627,5,23,7,429,ENSG00000196405 ENSG00000135077 ENSG00000179144 ENSG00000180644 ENSG00000133574,EVL HAVCR2 GIMAP7 PRF1 GIMAP4,0.0036196056448088475
MDE (-),CD45- Vascular Endothelium,0.0005689210982108514,4.171555555555556,13,15,75,361,ENSG00000204592 ENSG00000082684 ENSG00000183688 ENSG00000170962 ENSG00000173269 ENSG00000107719 ENSG00000110799 ENSG00000179144 ENSG00000171488 ENSG00000125810 ENSG00000179776 ENSG00000107438 ENSG00000179403,HLA-E SEMA5B RFLNB PDGFD MMRN2 PALD1 VWF GIMAP7 LRRC8C CD93 CDH5 PDLIM1 VWA1,0.005562784071394991
MDE (-),TAM ISGint,4.456409573298584e-05,6.0625,12,16,48,388,ENSG00000170962 ENSG00000173269 ENSG00000061337 ENSG00000107719 ENSG00000110799 ENSG00000071246 ENSG00000164116 ENSG00000125810 ENSG00000179776 ENSG00000204287 ENSG00000107438 ENSG00000179403,PDGFD MMRN2 LZTS1 PALD1 VWF VASH1 GUCY1A1 CD93 CDH5 HLA-DRA PDLIM1 VWA1,0.0007843280849005508
TMDE (-),CD45- Vascular Endothelium,0.0002220444862355031,4.84,13,13,75,363,ENSG00000109756 ENSG00000136160 ENSG00000068650 ENSG00000198680 ENSG00000078804 ENSG00000148175 ENSG00000091972 ENSG00000148841 ENSG00000160191 ENSG00000104967 ENSG00000172037 ENSG00000182621 ENSG00000175899,RAPGEF2 EDNRB ATP11A TUSC1 TP53INP2 STOM CD200 ITPRIP PDE9A NOVA2 LAMB2 PLCB1 A2M,0.002791416398389182
TMDS (+),CD4+ Proliferating,0.00014021855848064428,3.3346153846153848,27,130,18,289,ENSG00000119013 ENSG00000137288 ENSG00000112208 ENSG00000111639 ENSG00000137133 ENSG00000166896 ENSG00000180992 ENSG00000176340 ENSG00000132591 ENSG00000165672 ENSG00000158042 ENSG00000132423 ENSG00000104442 ENSG00000178741 ENSG00000145494 ENSG00000103121 ENSG00000112110 ENSG00000048544 ENSG00000110074 ENSG00000076248 ENSG00000105379 ENSG00000172172 ENSG00000112304 ENSG00000117593 ENSG00000243927 ENSG00000143436 ENSG00000130347,NDUFB3 UQCC2 BAG2 MRPL51 HINT2 ATP23 MRPL14 COX8A ERAL1 PRDX3 MRPL17 COQ3 ARMC1 COX5A NDUFS6 CMC2 MRPL18 MRPS10 FOXRED1 UNG ETFB MRPL13 ACOT13 DARS2 MRPS6 MRPL9 RTN4IP1,0.002056538857716116
TMDS (-),CD45- Myofibroblast,0.0031265466885798763,3.2767857142857144,12,21,64,367,ENSG00000164035 ENSG00000099889 ENSG00000165626 ENSG00000168575 ENSG00000013016 ENSG00000138792 ENSG00000130584 ENSG00000152767 ENSG00000137821 ENSG00000100234 ENSG00000153904 ENSG00000142910,EMCN ARVCF BEND7 SLC20A2 EHD3 ENPEP ZBTB46 FARP1 LRRC49 TIMP3 DDAH1 TINAGL1,0.022928009049585762
TMDS (-),CD45- Vascular Endothelium,0.001063149667547976,3.554765291607397,14,19,74,357,ENSG00000164035 ENSG00000099889 ENSG00000165626 ENSG00000013016 ENSG00000130584 ENSG00000153071 ENSG00000137821 ENSG00000065054 ENSG00000100234 ENSG00000054654 ENSG00000254726 ENSG00000153904 ENSG00000142910 ENSG00000128567,EMCN ARVCF BEND7 EHD3 ZBTB46 DAB2 LRRC49 SLC9A3R2 TIMP3 SYNE2 MEX3A DDAH1 TINAGL1 PODXL,0.00935571707442219
TMDS (-),TAM ISGint,0.00519578402744679,3.3130434782608695,10,23,50,381,ENSG00000164035 ENSG00000099889 ENSG00000138792 ENSG00000152767 ENSG00000257335 ENSG00000065054 ENSG00000100234 ENSG00000153904 ENSG00000142910 ENSG00000128567,EMCN ARVCF ENPEP FARP1 MGAM SLC9A3R2 TIMP3 DDAH1 TINAGL1 PODXL,0.0326592138868084
