Regulatory Cluster label,Cell type,p-value,odds-ratio,genes in cell type and cluster,genes in cluster but not cell type,genes in cell type but not cluster,genes not in cell type or cluster,gene_ids,gene_names,p.adj
MDS (+),CD45- Myofibroblast,0.002487404930243206,7.868421052631579,6,4,57,299,ENSG00000127955 ENSG00000134504 ENSG00000109654 ENSG00000074527 ENSG00000173598 ENSG00000143416,GNAI1 KCTD1 TRIM2 NTN4 NUDT4 SELENBP1,0.01720455076751551
MDS (+),CD45- PAX8+ renal epithelium,0.0037184791338615137,11.805194805194805,9,1,154,202,ENSG00000127955 ENSG00000126562 ENSG00000134504 ENSG00000005108 ENSG00000109654 ENSG00000139344 ENSG00000114378 ENSG00000173598 ENSG00000143416,GNAI1 WNK4 KCTD1 THSD7A TRIM2 AMDHD1 HYAL1 NUDT4 SELENBP1,0.02140545280813339
MDS (+),TAM ISGhi,0.0013955238567586,8.891891891891891,7,3,74,282,ENSG00000127955 ENSG00000005108 ENSG00000109654 ENSG00000074527 ENSG00000114378 ENSG00000173598 ENSG00000143416,GNAI1 THSD7A TRIM2 NTN4 HYAL1 NUDT4 SELENBP1,0.012869831123440421
MDS (-),CD45- PAX8+ renal epithelium,0.0016152326750084078,7.986754966887418,12,2,151,201,ENSG00000130413 ENSG00000099812 ENSG00000159166 ENSG00000182795 ENSG00000198203 ENSG00000127831 ENSG00000088899 ENSG00000127324 ENSG00000143412 ENSG00000175707 ENSG00000145626 ENSG00000143627,STK33 MISP LAD1 C1orf116 SULT1C2 VIL1 LZTS3 TSPAN8 ANXA9 KDF1 UGT3A1 PKLR,0.013406431202569784
MDE (+),CD45- Myofibroblast,0.008392043632662828,3.4404761904761907,9,14,54,289,ENSG00000116991 ENSG00000140939 ENSG00000024422 ENSG00000138722 ENSG00000105974 ENSG00000132639 ENSG00000091127 ENSG00000173269 ENSG00000173548,SIPA1L2 NOL3 EHD2 MMRN1 CAV1 SNAP25 PUS7 MMRN2 SNX33,0.03869664563950082
MDE (+),CD45- Vascular Endothelium,0.0004182745130855559,4.944281524926686,12,11,62,281,ENSG00000116991 ENSG00000024422 ENSG00000138722 ENSG00000105974 ENSG00000104881 ENSG00000173269 ENSG00000173548 ENSG00000179403 ENSG00000183688 ENSG00000170962 ENSG00000185100 ENSG00000138411,SIPA1L2 EHD2 MMRN1 CAV1 PPP1R13L MMRN2 SNX33 VWA1 RFLNB PDGFD ADSS1 HECW2,0.00578613076435019
MDE (+),TAM ISGint,0.0038684553267710944,4.280701754385965,8,15,38,305,ENSG00000116991 ENSG00000024422 ENSG00000138722 ENSG00000105974 ENSG00000173269 ENSG00000179403 ENSG00000170962 ENSG00000138411,SIPA1L2 EHD2 MMRN1 CAV1 MMRN2 VWA1 PDGFD HECW2,0.02140545280813339
MDE (-),TAM HLAhi,0.00248677873253437,3.255731922398589,13,27,42,284,ENSG00000160255 ENSG00000168961 ENSG00000131446 ENSG00000158869 ENSG00000095970 ENSG00000181467 ENSG00000103490 ENSG00000132965 ENSG00000122986 ENSG00000100364 ENSG00000089127 ENSG00000059377 ENSG00000161921,ITGB2 LGALS9 MGAT1 FCER1G TREM2 RAP2B PYCARD ALOX5AP HVCN1 KIAA0930 OAS1 TBXAS1 CXCL16,0.01720455076751551
TMDE (+),CD45- Myofibroblast,0.004128883909903679,5.285714285714286,7,7,56,296,ENSG00000198680 ENSG00000074657 ENSG00000011638 ENSG00000119640 ENSG00000151364 ENSG00000138386 ENSG00000172037,TUSC1 ZNF532 LDAF1 ACYP1 KCTD14 NAB1 LAMB2,0.021418585282625333
TMDE (+),CD45- Vascular Endothelium,0.01080115156598511,4.253731343283582,7,7,67,285,ENSG00000101871 ENSG00000198680 ENSG00000116016 ENSG00000182621 ENSG00000074657 ENSG00000136160 ENSG00000172037,MID1 TUSC1 EPAS1 PLCB1 ZNF532 EDNRB LAMB2,0.047183977893513904
