,Regulatory Cluster label,Cell type,p-value,odds-ratio,genes in cell type and cluster,genes in cluster but not cell type,genes in cell type but not cluster,genes not in cell type or cluster,gene_ids,gene_names,p.adj
0,MDS (+),CD45- ccRCC CA9+,0.0724702186043199,6.61271676300578,4,1,173,286,ENSG00000115556 ENSG00000100473 ENSG00000013588 ENSG00000115255,PLCD4 COCH GPRC5A REEP6,0.2548952516427804
1,MDS (-),CD45- Myofibroblast,0.12232509017970143,2.061111111111111,6,15,72,371,ENSG00000004776 ENSG00000168306 ENSG00000130988 ENSG00000175084 ENSG00000176387 ENSG00000074527,HSPB6 ACOX2 RGN DES HSD11B2 NTN4,0.34606816838698506
2,MDS (-),CD45- PAX8+ renal epithelium,0.00640014175092255,3.7151219512195124,16,5,205,238,ENSG00000253313 ENSG00000136883 ENSG00000124253 ENSG00000134873 ENSG00000004776 ENSG00000168306 ENSG00000131771 ENSG00000099812 ENSG00000130988 ENSG00000114378 ENSG00000176387 ENSG00000143845 ENSG00000171759 ENSG00000076258 ENSG00000139055 ENSG00000079337,C1orf210 KIF12 PCK1 CLDN10 HSPB6 ACOX2 PPP1R1B MISP RGN HYAL1 HSD11B2 ETNK2 PAH FMO4 ERP27 RAPGEF3,0.0384008505055353
3,MDS (-),CD45- Vascular Endothelium,0.2046108412233084,1.7095238095238094,6,15,84,359,ENSG00000102886 ENSG00000159307 ENSG00000114378 ENSG00000079337 ENSG00000099219 ENSG00000074527,GDPD3 SCUBE1 HYAL1 RAPGEF3 ERMP1 NTN4,0.43359147928568154
4,MDS (-),CD45- ccRCC CA9+,0.4051285546343,1.2276785714285714,9,12,168,275,ENSG00000102886 ENSG00000136883 ENSG00000124253 ENSG00000004776 ENSG00000168306 ENSG00000131771 ENSG00000099812 ENSG00000130988 ENSG00000076258,GDPD3 KIF12 PCK1 HSPB6 ACOX2 PPP1R1B MISP RGN FMO4,0.6887185428783099
5,MDS (-),TAM ISGhi,0.6728266222037704,0.8855154965211891,4,17,93,350,ENSG00000004776 ENSG00000114378 ENSG00000079337 ENSG00000074527,HSPB6 HYAL1 RAPGEF3 NTN4,0.9665959924617548
6,MDE (+),CD45- ccRCC CA9+,0.36245263686374607,1.6358381502890174,4,4,173,283,ENSG00000122884 ENSG00000100097 ENSG00000170231 ENSG00000136231,P4HA1 LGALS1 FABP6 IGF2BP3,0.6266130332220694
7,MDE (-),CD4+ Naive,0.004570452325810737,6.101449275362318,5,23,15,421,ENSG00000196405 ENSG00000179144 ENSG00000213203 ENSG00000133574 ENSG00000130755,EVL GIMAP7 GIMAP1 GIMAP4 GMFG,0.03329900980233537
8,MDE (-),CD8A+ Exhausted,0.0010971734724335373,9.26086956521739,5,23,10,426,ENSG00000135077 ENSG00000180644 ENSG00000196405 ENSG00000179144 ENSG00000133574,HAVCR2 PRF1 EVL GIMAP7 GIMAP4,0.012434632687580088
9,MDE (-),CD45- Myofibroblast,0.17260857840888244,1.7136150234741785,7,21,71,365,ENSG00000082684 ENSG00000107438 ENSG00000110799 ENSG00000061337 ENSG00000173269 ENSG00000163071 ENSG00000164116,SEMA5B PDLIM1 VWF LZTS1 MMRN2 SPATA18 GUCY1A1,0.40944360459781415
10,MDE (-),CD45- PAX8+ renal epithelium,0.9897643366716554,0.4187793427230047,8,20,213,223,ENSG00000082684 ENSG00000107438 ENSG00000067057 ENSG00000113249 ENSG00000114455 ENSG00000164116 ENSG00000163071 ENSG00000179403,SEMA5B PDLIM1 PFKP HAVCR1 HHLA2 GUCY1A1 SPATA18 VWA1,0.9999999999704231
11,MDE (-),CD45- Vascular Endothelium,0.00015967301902609124,4.7368421052631575,14,14,76,360,ENSG00000082684 ENSG00000107438 ENSG00000110799 ENSG00000179776 ENSG00000170962 ENSG00000071246 ENSG00000204592 ENSG00000179144 ENSG00000125810 ENSG00000183688 ENSG00000173269 ENSG00000107719 ENSG00000179403 ENSG00000171488,SEMA5B PDLIM1 VWF CDH5 PDGFD VASH1 HLA-E GIMAP7 CD93 RFLNB MMRN2 PALD1 VWA1 LRRC8C,0.0023266639915230434
12,MDE (-),CD45- ccRCC CA9+,0.9843969068289489,0.4226475279106858,6,22,171,265,ENSG00000082684 ENSG00000107438 ENSG00000061337 ENSG00000067057 ENSG00000113249 ENSG00000163071,SEMA5B PDLIM1 LZTS1 PFKP HAVCR1 SPATA18,0.9999999999704231
13,MDE (-),TAM HLAhi,0.3264744095837001,1.4848484848484849,4,24,44,392,ENSG00000204287 ENSG00000071246 ENSG00000107719 ENSG00000125810,HLA-DRA VASH1 PALD1 CD93,0.5741446513368519
14,MDE (-),TAM HLAint,0.08200460790236087,2.4906832298136647,5,23,35,401,ENSG00000204287 ENSG00000155849 ENSG00000071246 ENSG00000125810 ENSG00000107719,HLA-DRA ELMO1 VASH1 CD93 PALD1,0.27881566686802695
15,MDE (-),TAM ISGhi,0.0015859960132271755,3.6317460317460317,13,15,84,352,ENSG00000107438 ENSG00000204287 ENSG00000061337 ENSG00000110799 ENSG00000179776 ENSG00000170962 ENSG00000071246 ENSG00000183688 ENSG00000125810 ENSG00000164116 ENSG00000173269 ENSG00000107719 ENSG00000179403,PDLIM1 HLA-DRA LZTS1 VWF CDH5 PDGFD VASH1 RFLNB CD93 GUCY1A1 MMRN2 PALD1 VWA1,0.014706508486288353
16,MDE (-),TAM ISGint,7.616538878872336e-05,5.661764705882353,12,16,51,385,ENSG00000107438 ENSG00000204287 ENSG00000061337 ENSG00000110799 ENSG00000179776 ENSG00000170962 ENSG00000071246 ENSG00000125810 ENSG00000164116 ENSG00000173269 ENSG00000107719 ENSG00000179403,PDLIM1 HLA-DRA LZTS1 VWF CDH5 PDGFD VASH1 CD93 GUCY1A1 MMRN2 PALD1 VWA1,0.0012948116094082971
17,MDE (-),cDC2,0.18763940133596288,1.9705882352941178,4,24,34,402,ENSG00000204287 ENSG00000071246 ENSG00000107719 ENSG00000125810,HLA-DRA VASH1 PALD1 CD93,0.42588836891389037
18,TMDE (+),CD4+ Proliferating,0.13617689342557748,1.9438775510204083,6,21,56,381,ENSG00000168496 ENSG00000128059 ENSG00000221926 ENSG00000081870 ENSG00000076003 ENSG00000117395,FEN1 PPAT TRIM16 HSPB11 MCM6 EBNA1BP2,0.35615495203612574
19,TMDE (+),CD14+/CD16+ Monocyte,0.23335323863694707,1.774804905239688,4,23,39,398,ENSG00000008130 ENSG00000156273 ENSG00000072274 ENSG00000116337,NADK BACH1 TFRC AMPD2,0.46670647727389414
20,TMDE (+),CD45- Myofibroblast,0.6952416176545114,0.8531139835487661,4,23,74,363,ENSG00000158315 ENSG00000083444 ENSG00000072682 ENSG00000163001,RHBDL2 PLOD1 P4HA2 CFAP36,0.9714334931610982
21,TMDE (+),CD45- PAX8+ renal epithelium,0.9097250751121518,0.6300529690549206,10,17,211,226,ENSG00000116133 ENSG00000158315 ENSG00000101294 ENSG00000072682 ENSG00000166557 ENSG00000114923 ENSG00000163001 ENSG00000117395 ENSG00000169436 ENSG00000083444,DHCR24 RHBDL2 HM13 P4HA2 TMED3 SLC4A3 CFAP36 EBNA1BP2 COL22A1 PLOD1,0.9999999999704231
22,TMDE (+),CD45- ccRCC CA9+,0.3085317993183984,1.3187878787878788,12,15,165,272,ENSG00000221926 ENSG00000116133 ENSG00000101294 ENSG00000072682 ENSG00000184575 ENSG00000166557 ENSG00000114923 ENSG00000163001 ENSG00000158315 ENSG00000169436 ENSG00000083444 ENSG00000160214,TRIM16 DHCR24 HM13 P4HA2 XPOT TMED3 SLC4A3 CFAP36 RHBDL2 COL22A1 PLOD1 RRP1,0.5521095356223972
23,TMDE (+),cDC1,0.03893250603384412,3.197492163009404,5,22,29,408,ENSG00000163938 ENSG00000156273 ENSG00000148572 ENSG00000166557 ENSG00000114923,GNL3 BACH1 NRBF2 TMED3 SLC4A3,0.15273521597892695
24,TMDE (+),pDC,0.03893250603384412,3.197492163009404,5,22,29,408,ENSG00000163938 ENSG00000008130 ENSG00000076003 ENSG00000114923 ENSG00000135521,GNL3 NADK MCM6 SLC4A3 LTV1,0.15273521597892695
25,TMDE (-),CD14+ Monocyte,0.06841139603590918,2.6587301587301586,5,21,36,402,ENSG00000087903 ENSG00000182621 ENSG00000104856 ENSG00000068650 ENSG00000100448,RFX2 PLCB1 RELB ATP11A CTSG,0.24921294270224056
26,TMDE (-),CD14+/CD16+ Monocyte,0.2125448427870988,1.8601398601398602,4,22,39,399,ENSG00000078804 ENSG00000087903 ENSG00000068650 ENSG00000100644,TP53INP2 RFX2 ATP11A HIF1A,0.43359147928568154
27,TMDE (-),CD45- Myofibroblast,0.005507452605275981,3.400735294117647,10,16,68,370,ENSG00000148175 ENSG00000119640 ENSG00000138185 ENSG00000136160 ENSG00000100644 ENSG00000109756 ENSG00000172037 ENSG00000198680 ENSG00000078804 ENSG00000175899,STOM ACYP1 ENTPD1 EDNRB HIF1A RAPGEF2 LAMB2 TUSC1 TP53INP2 A2M,0.035110010358634376
28,TMDE (-),CD45- PAX8+ renal epithelium,0.9923904004550953,0.3856369896704378,7,19,214,224,ENSG00000243156 ENSG00000182621 ENSG00000172037 ENSG00000198680 ENSG00000068650 ENSG00000160191 ENSG00000135185,MICAL3 PLCB1 LAMB2 TUSC1 ATP11A PDE9A TMEM243,0.9999999999704231
29,TMDE (-),CD45- Vascular Endothelium,0.00028526503971222866,4.688311688311688,13,13,77,361,ENSG00000148175 ENSG00000104967 ENSG00000136160 ENSG00000109756 ENSG00000182621 ENSG00000172037 ENSG00000198680 ENSG00000078804 ENSG00000148841 ENSG00000175899 ENSG00000068650 ENSG00000160191 ENSG00000091972,STOM NOVA2 EDNRB RAPGEF2 PLCB1 LAMB2 TUSC1 TP53INP2 ITPRIP A2M ATP11A PDE9A CD200,0.0036371292563309155
30,TMDE (-),CD45- ccRCC CA9+,0.9705955746355911,0.46842105263157896,6,20,171,267,ENSG00000243156 ENSG00000172037 ENSG00000087903 ENSG00000198680 ENSG00000175137 ENSG00000160191,MICAL3 LAMB2 RFX2 TUSC1 SH3BP5L PDE9A,0.9999999999704231
31,TMDE (-),Mast,0.024177342374439338,4.502673796791444,4,22,17,421,ENSG00000104856 ENSG00000109756 ENSG00000100448 ENSG00000100644,RELB RAPGEF2 CTSG HIF1A,0.10275370509136719
32,TMDE (-),TAM ISGhi,0.009095338176659626,3.0015503875968994,11,15,86,352,ENSG00000148175 ENSG00000104967 ENSG00000136160 ENSG00000109756 ENSG00000182621 ENSG00000172037 ENSG00000087903 ENSG00000198680 ENSG00000078804 ENSG00000148841 ENSG00000175899,STOM NOVA2 EDNRB RAPGEF2 PLCB1 LAMB2 RFX2 TUSC1 TP53INP2 ITPRIP A2M,0.047367597546810296
33,TMDE (-),TAM ISGint,0.26954793260779636,1.5599343185550083,5,21,58,380,ENSG00000136160 ENSG00000109756 ENSG00000172037 ENSG00000078804 ENSG00000175899,EDNRB RAPGEF2 LAMB2 TP53INP2 A2M,0.4909623058213433
34,TMDS (+),B cell,0.9358793290081955,0.5281432748538012,5,152,18,289,ENSG00000117009 ENSG00000172264 ENSG00000176788 ENSG00000115919 ENSG00000115841,KMO MACROD2 BASP1 KYNU RMDN2,0.9999999999704231
35,TMDS (+),CD4+ Naive,0.8647020557684262,0.6403508771929824,5,152,15,292,ENSG00000157978 ENSG00000131143 ENSG00000151136 ENSG00000134765 ENSG00000170854,LDLRAP1 COX4I1 BTBD11 DSC1 RIOX2,0.9999999999704231
