"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030193","BP","GO:0030193","regulation of blood coagulation","13/308","54/10313",4.30657241586856e-09,9.19291343369681e-06,8.4053952251651e-06,"KNG1/ST3GAL4/F11/SERPINC1/CEACAM1/PROC/PLAT/GP1BA/F12/APOH/PLG/PDGFRA/VTN",13
"GO:1900046","BP","GO:1900046","regulation of hemostasis","13/308","55/10313",5.48994531722712e-09,9.19291343369681e-06,8.4053952251651e-06,"KNG1/ST3GAL4/F11/SERPINC1/CEACAM1/PROC/PLAT/GP1BA/F12/APOH/PLG/PDGFRA/VTN",13
"GO:0050818","BP","GO:0050818","regulation of coagulation","13/308","57/10313",8.77724193183844e-09,9.79832774324231e-06,8.95894623849755e-06,"KNG1/ST3GAL4/F11/SERPINC1/CEACAM1/PROC/PLAT/GP1BA/F12/APOH/PLG/PDGFRA/VTN",13
"GO:0030195","BP","GO:0030195","negative regulation of blood coagulation","11/308","40/10313",1.50606305836436e-08,1.26095129561556e-05,1.15293090441629e-05,"KNG1/F11/CEACAM1/PROC/PLAT/GP1BA/F12/APOH/PLG/PDGFRA/VTN",11
"GO:1900047","BP","GO:1900047","negative regulation of hemostasis","11/308","41/10313",2.00406770101283e-08,1.34232454613839e-05,1.22733325099922e-05,"KNG1/F11/CEACAM1/PROC/PLAT/GP1BA/F12/APOH/PLG/PDGFRA/VTN",11
"GO:0050819","BP","GO:0050819","negative regulation of coagulation","11/308","42/10313",2.64367505431636e-08,1.47561129281758e-05,1.34920188298356e-05,"KNG1/F11/CEACAM1/PROC/PLAT/GP1BA/F12/APOH/PLG/PDGFRA/VTN",11
"GO:0061045","BP","GO:0061045","negative regulation of wound healing","12/308","58/10313",1.05861203576913e-07,5.06470243970115e-05,4.63083069481562e-05,"KNG1/F11/CEACAM1/PROC/PLAT/GP1BA/F12/APOH/PLG/PDGFRA/VTN/AJAP1",12
"GO:1903035","BP","GO:1903035","negative regulation of response to wounding","12/308","66/10313",4.71740843572146e-07,0.00019748251064039,0.000180565014993602,"KNG1/F11/CEACAM1/PROC/PLAT/GP1BA/F12/APOH/PLG/PDGFRA/VTN/AJAP1",12
"GO:0032102","BP","GO:0032102","negative regulation of response to external stimulus","23/308","240/10313",7.72376062075156e-07,0.000287409714654411,0.000262788533868612,"STAP1/TYRO3/KNG1/SEMA6D/F11/CEACAM1/PROC/C5/PLAT/GP1BA/F12/APOH/PLG/PDGFRA/LDLR/VTN/METRNL/AJAP1/PADI2/SEMA3G/CTNNA2/ARG2/ADIPOQ",23
"GO:0061041","BP","GO:0061041","regulation of wound healing","14/308","97/10313",1.00204495226214e-06,0.000335584854512591,0.00030683671222427,"KNG1/ST3GAL4/F11/SERPINC1/CEACAM1/PROC/PLAT/GP1BA/F12/APOH/PLG/PDGFRA/VTN/AJAP1",14
"GO:0007597","BP","GO:0007597","blood coagulation, intrinsic pathway","6/308","15/10313",2.6947519554908e-06,0.000820429481721698,0.000750146740528491,"KNG1/F11/SERPINC1/GP1BA/F12/APOH",6
"GO:0072376","BP","GO:0072376","protein activation cascade","7/308","25/10313",5.98852662805123e-06,0.00154273659056489,0.00141057683894745,"KNG1/F11/SERPINC1/GP1BA/F12/APOH/FBLN1",7
"GO:0072378","BP","GO:0072378","blood coagulation, fibrin clot formation","7/308","25/10313",5.98852662805123e-06,0.00154273659056489,0.00141057683894745,"KNG1/F11/SERPINC1/GP1BA/F12/APOH/FBLN1",7
"GO:0098660","BP","GO:0098660","inorganic ion transmembrane transport","31/308","438/10313",6.87207077809712e-06,0.00164389750256052,0.00150307172131463,"CYTB/SLC26A7/CACNA2D2/PLCG2/GNB5/KCNQ1/DPP6/RHCG/SLC4A1/SLC9A2/NOS1/TPCN1/WNK1/SLC39A4/WNK3/KCNK5/SLC25A25/ATP8/PTPN3/SHROOM2/ANO5/SCNN1G/SLC17A1/NCS1/ATP2B3/PCSK9/NOX5/WNK2/CCL19/SLC6A20/STAC2",31
"GO:0050878","BP","GO:0050878","regulation of body fluid levels","27/308","355/10313",7.56411693204116e-06,0.00168881517369372,0.001544141484583,"PLCG2/SLC4A1/ERBB4/TYRO3/KNG1/ADAMTS13/ST3GAL4/F11/SERPINC1/CEACAM1/PROC/SCNN1G/MYO5B/PLAT/GP1BA/F12/FA2H/APOH/PLG/BTC/NEURL1/PDGFRA/VTN/FBLN1/AQP3/HGFAC/CYP4F12",27
