ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0015671,oxygen transport,8/289,13/12848,6.949207151752815e-11,2.4058155159368244e-7,2.224477784050559e-7,HBA2/HBG2/HBE1/HBD/HBQ1/HBZ/HBM/HBG1,8
BP,GO:0042273,ribosomal large subunit biogenesis,14/289,66/12848,1.6821958542148642e-10,2.91188102364593e-7,2.6923987329828436e-7,NOP16/RPL6/RPL3/NOP53/BRIX1/RPL24/EBNA1BP2/RPL7/NIFK/NSA2/RSL1D1/RRS1/RPF2/RPL23A,14
BP,GO:0042254,ribosome biogenesis,26/289,272/12848,4.737171568245898e-10,4.961933533121401e-7,4.587929056591013e-7,NOP16/RIOK2/RPL6/RPL3/NOP53/BRIX1/RPL24/EBNA1BP2/DDX54/GNL2/LTV1/RPS6/RPS24/ABT1/RPL7/UTP23/REXO4/SRFBP1/NIFK/RRP1/NSA2/TSR1/RSL1D1/RRS1/RPF2/RPL23A,26
BP,GO:0042744,hydrogen peroxide catabolic process,10/289,30/12848,5.733025457101561e-10,4.961933533121401e-7,4.587929056591013e-7,EPX/SNCA/HBA2/HBG2/HBE1/HBD/HBQ1/HBZ/HBM/HBG1,10
BP,GO:0015669,gas transport,8/289,17/12848,1.2135442077244967e-9,7.721107330669531e-7,7.139130831757136e-7,HBA2/HBG2/HBE1/HBD/HBQ1/HBZ/HBM/HBG1,8
BP,GO:0006614,SRP-dependent cotranslational protein targeting to membrane,15/289,90/12848,1.3381468510692428e-9,7.721107330669531e-7,7.139130831757136e-7,RPL6/RPL3/RPL28/RPL19/RPL34/RPL24/RPS6/RPS24/RPL13A/RPL32/RPL7/RPL29/RPL13/RPL4/RPL23A,15
BP,GO:0006613,cotranslational protein targeting to membrane,15/289,94/12848,2.5051421817509144e-9,1.238971747603095e-6,1.1455845676247416e-6,RPL6/RPL3/RPL28/RPL19/RPL34/RPL24/RPS6/RPS24/RPL13A/RPL32/RPL7/RPL29/RPL13/RPL4/RPL23A,15
BP,GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",16/289,110/12848,2.9628887627252534e-9,1.2821901120693535e-6,1.1855453588746705e-6,RPL6/RPL3/RPL28/RPL19/RPL34/RPL24/HELZ2/RPS6/RPS24/RPL13A/RPL32/RPL7/RPL29/RPL13/RPL4/RPL23A,16
BP,GO:0045047,protein targeting to ER,15/289,102/12848,7.999049676428501e-9,2.9119643944155273e-6,2.692475819701912e-6,RPL6/RPL3/RPL28/RPL19/RPL34/RPL24/RPS6/RPS24/RPL13A/RPL32/RPL7/RPL29/RPL13/RPL4/RPL23A,15
BP,GO:0042743,hydrogen peroxide metabolic process,11/289,49/12848,8.411220087855365e-9,2.9119643944155273e-6,2.692475819701912e-6,CYBA/EPX/SNCA/HBA2/HBG2/HBE1/HBD/HBQ1/HBZ/HBM/HBG1,11
