ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0044282,small molecule catabolic process,89/505,386/12848,2.410638831982086e-44,8.56499977003235e-41,7.602393621703504e-41,AASS/CYP24A1/ACAA1/HAGH/OAT/ACAT1/BCKDHB/OXCT1/XYLB/CRAT/UPB1/GCAT/MIOX/PCK2/HAO1/AHCY/RENBP/CRYM/QPRT/GCDH/PHYH/DAO/ALDH5A1/AGXT2/HGD/PCCB/CTH/HAO2/NT5C1A/ACADM/ALDH8A1/DLST/ALDH6A1/SARDH/PFKFB2/ECHS1/IVD/RIDA/ALDOB/ALDH1B1/DBT/HADH/SDSL/SORD/SLC27A2/GALM/ALDH1L1/MMUT/ADHFE1/DPYS/IDNK/TKFC/ACAD8/QDPR/HPD/FTCD/SLC25A44/BDH1/FABP1/PPM1K/BDH2/ALDH7A1/CRYL1/GPT2/CRABP1/LDHD/SLC27A4/GPT/UMOD/DCXR/NUDT9/AGXT/PCCA/GLDC/PIPOX/AFMID/INPP5J/CYP4F2/CYP4F3/CYP4A11/ENTPD5/HYKK/ACADSB/HIBCH/ECI2/PNP/GK/HOGA1/PRODH2,89
BP,GO:0016054,organic acid catabolic process,70/505,241/12848,6.064767763918568e-42,1.0774059932601336e-38,9.563181168789488e-39,AASS/ACAA1/OAT/ACAT1/BCKDHB/XYLB/CRAT/GCAT/PCK2/HAO1/AHCY/RENBP/CRYM/QPRT/GCDH/PHYH/DAO/ALDH5A1/AGXT2/HGD/PCCB/CTH/HAO2/ACADM/ALDH8A1/DLST/ALDH6A1/SARDH/ECHS1/IVD/RIDA/DBT/HADH/SDSL/SORD/SLC27A2/ALDH1L1/MMUT/ADHFE1/IDNK/ACAD8/QDPR/HPD/FTCD/SLC25A44/FABP1/PPM1K/BDH2/ALDH7A1/CRYL1/GPT2/CRABP1/LDHD/SLC27A4/GPT/DCXR/AGXT/PCCA/GLDC/PIPOX/AFMID/CYP4F2/CYP4F3/CYP4A11/HYKK/ACADSB/HIBCH/ECI2/HOGA1/PRODH2,70
BP,GO:0046395,carboxylic acid catabolic process,64/505,226/12848,1.3130130406567882e-37,1.5550451111511893e-34,1.38027616484482e-34,AASS/ACAA1/OAT/ACAT1/XYLB/CRAT/GCAT/PCK2/HAO1/AHCY/RENBP/CRYM/QPRT/GCDH/PHYH/DAO/ALDH5A1/AGXT2/HGD/PCCB/HAO2/ACADM/ALDH8A1/DLST/ALDH6A1/SARDH/ECHS1/IVD/RIDA/HADH/SDSL/SORD/SLC27A2/ALDH1L1/MMUT/ADHFE1/IDNK/ACAD8/QDPR/HPD/FTCD/FABP1/BDH2/ALDH7A1/CRYL1/GPT2/CRABP1/LDHD/SLC27A4/GPT/DCXR/AGXT/PCCA/GLDC/PIPOX/AFMID/CYP4F2/CYP4F3/CYP4A11/HYKK/HIBCH/ECI2/HOGA1/PRODH2,64
BP,GO:1901605,alpha-amino acid metabolic process,49/505,167/12848,1.0403798287397033e-29,9.241173828780415e-27,8.202573597116187e-27,AASS/IYD/DPEP1/CPS1/OAT/ACAT1/NOX4/PHGDH/GCAT/HNF4A/AHCY/CRYM/GCDH/DAO/ALDH5A1/AGXT2/HGD/CTH/AGMAT/ALDH8A1/DLST/SARDH/ASS1/RIDA/BHMT2/PSAT1/SDSL/BHMT/MMUT/ADHFE1/GLYAT/QDPR/SLC7A7/HPD/FTCD/ALDH7A1/GPT2/GLYATL1/GPT/TTC36/AGXT/MSRA/GLDC/PIPOX/AFMID/HYKK/ACADSB/HOGA1/PRODH2,49
BP,GO:0006520,cellular amino acid metabolic process,62/505,296/12848,2.5260746344559686e-28,1.7950286352444112e-25,1.5932883378589645e-25,AASS/IYD/LARS2/DPEP1/CPS1/OAT/ACAT1/NOX4/PHGDH/UPB1/GCAT/HNF4A/AHCY/CRYM/GCDH/DAO/ALDH5A1/AGXT2/HGD/CTH/AGMAT/ALDH8A1/DLST/ALDH6A1/SARDH/PEPD/IVD/ASS1/DDC/RIDA/BHMT2/PSAT1/BPHL/SDSL/BHMT/MMUT/SLC16A2/ADHFE1/DPYS/GLYAT/ACAD8/QDPR/SLC7A7/HPD/FTCD/ALDH7A1/GPT2/GLYATL1/GPT/TTC36/AGXT/MSRA/GLDC/PIPOX/AFMID/HYKK/ACADSB/HIBCH/DIO1/HOGA1/ACY1/PRODH2,62
BP,GO:0009063,cellular amino acid catabolic process,33/505,96/12848,8.587667238864118e-23,5.0853302832807017e-20,4.513798429409982e-20,AASS/OAT/GCAT/AHCY/CRYM/GCDH/DAO/ALDH5A1/AGXT2/HGD/ALDH8A1/DLST/ALDH6A1/SARDH/IVD/RIDA/SDSL/ADHFE1/ACAD8/QDPR/HPD/FTCD/ALDH7A1/GPT2/GPT/AGXT/GLDC/PIPOX/AFMID/HYKK/HIBCH/HOGA1/PRODH2,33
BP,GO:1901606,alpha-amino acid catabolic process,29/505,80/12848,6.371855634959086e-21,3.2341718672870902e-18,2.870688643960514e-18,AASS/OAT/ACAT1/GCAT/AHCY/CRYM/GCDH/DAO/AGXT2/HGD/ALDH8A1/DLST/SARDH/RIDA/SDSL/ADHFE1/QDPR/HPD/ALDH7A1/GPT2/GPT/AGXT/GLDC/PIPOX/AFMID/HYKK/ACADSB/HOGA1/PRODH2,29
BP,GO:0072329,monocarboxylic acid catabolic process,33/505,124/12848,6.879405989183064e-19,3.0553161849459283e-16,2.71193425573585e-16,ACAA1/ACAT1/XYLB/CRAT/PCK2/HAO1/GCDH/PHYH/AGXT2/PCCB/HAO2/ACADM/ECHS1/IVD/HADH/SORD/SLC27A2/MMUT/IDNK/FABP1/BDH2/CRYL1/CRABP1/LDHD/SLC27A4/DCXR/AGXT/PCCA/CYP4F2/CYP4F3/CYP4A11/ECI2/HOGA1,33
BP,GO:0015711,organic anion transport,44/505,294/12848,1.387214086037261e-14,5.476412941878209e-12,4.8609279552837826e-12,SLC25A5/SLC13A2/SLC7A9/CASR/MPC1/LLGL2/SLC4A4/SLC7A8/SLC2A9/FOLR1/SLC16A7/SLC22A7/STRA6/MTTP/SFXN5/SLC26A1/SLC16A2/SLC5A12/SLC25A4/PLA2R1/SLC7A7/SFXN2/SLC13A3/SLC16A9/SLC27A4/CA4/SLC3A2/SLC22A11/PLA2G4F/UMOD/SLC23A1/SLC22A13/KCNJ10/SLC25A42/SLC25A10/CYP4F2/SLC36A2/CYP4A11/SLC25A29/SLC22A12/SLC22A6/SLC44A4/SLC26A6/AQP1,44
BP,GO:0006631,fatty acid metabolic process,44/505,321/12848,3.347684977178849e-13,1.189432472391645e-10,1.0557541254345086e-10,ACSM3/PRKAR2B/MLXIPL/CYP24A1/ACAA1/ACSM2B/ACAT1/CRAT/PCK2/HAO1/LIPG/GCDH/PTGDS/PHYH/PCCB/ATP6V1B1/HAO2/ACADM/ACOT2/EPHX2/ECHS1/IVD/ANGPTL3/ECHDC3/HADH/SLC27A2/MMUT/ACOT11/FABP1/BDH2/HPGD/CRYL1/ACSF2/SLC27A4/PLA2G4F/SLC22A13/PCCA/ACSM2A/CYP4F2/CYP4F3/CYP4A11/ACADSB/ECI2/HTD2,44
