ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0140053,mitochondrial gene expression,111/759,155/12848,1.499454411774883e-102,5.916847108863688e-99,5.620586484558272e-99,TFB1M/MRPS10/MRPL43/GATB/MRPS35/MRPS24/IARS2/HSD17B10/TRNT1/MRPL22/MTIF2/MRPS33/MRPS18A/PRORP/MTG2/MRPS31/EARS2/MRPL32/TFAM/C1QBP/MRPL27/MRPL51/MTRF1L/MRPL18/MRPS30/MRPS27/MRPL3/MRPL19/MRPL37/WARS2/MRPS15/DARS2/MRPS14/MTRF1/MTIF3/MRPS2/TSFM/MRPS7/MRPS26/MRPL34/QRSL1/MTRES1/PTCD3/ERAL1/DAP3/MRPS36/MTO1/MRPL44/MRPS9/TBRG4/MRPL47/MRPL50/UQCC2/MRPL15/PNPT1/LRPPRC/YARS2/MRPL24/MRPL9/MRPS5/MRPS28/MRRF/MTG1/MRPL49/MRPL39/RMND1/MALSU1/RPUSD3/MRPL17/MRPL10/TFB2M/MRPL55/MRPS18C/RPUSD4/MRPL16/TRUB2/MRPL58/GFM1/MRPL1/TRMT61B/TEFM/MRPL13/CHCHD1/MRPL52/MRPL57/TRMT10C/MRPL11/MRPS22/MRPL48/TUFM/MRPL14/MRPS23/MRPS11/MRPS16/MRPL54/COA3/MRPL30/MRPL40/MRPL53/MRPL23/FASTKD5/MRPL20/MRPL33/MRPS6/MRPL46/MRPL12/MRPS21/NDUFA7/RCC1L/CHCHD10/SARS2,111
BP,GO:0032543,mitochondrial translation,97/759,128/12848,1.5008321406498465e-93,2.961141813502147e-90,2.812875396239002e-90,MRPS10/MRPL43/GATB/MRPS35/MRPS24/IARS2/MRPL22/MTIF2/MRPS33/MRPS18A/MTG2/MRPS31/EARS2/MRPL32/C1QBP/MRPL27/MRPL51/MTRF1L/MRPL18/MRPS30/MRPS27/MRPL3/MRPL19/MRPL37/WARS2/MRPS15/DARS2/MRPS14/MTRF1/MTIF3/MRPS2/TSFM/MRPS7/MRPS26/MRPL34/QRSL1/PTCD3/ERAL1/DAP3/MRPS36/MRPL44/MRPS9/MRPL47/MRPL50/UQCC2/MRPL15/LRPPRC/YARS2/MRPL24/MRPL9/MRPS5/MRPS28/MRRF/MTG1/MRPL49/MRPL39/RMND1/MALSU1/RPUSD3/MRPL17/MRPL10/MRPL55/MRPS18C/RPUSD4/MRPL16/TRUB2/MRPL58/GFM1/MRPL1/MRPL13/CHCHD1/MRPL52/MRPL57/TRMT10C/MRPL11/MRPS22/MRPL48/TUFM/MRPL14/MRPS23/MRPS11/MRPS16/MRPL54/COA3/MRPL30/MRPL40/MRPL53/MRPL23/MRPL20/MRPL33/MRPS6/MRPL46/MRPL12/MRPS21/NDUFA7/RCC1L/SARS2,97
BP,GO:0070125,mitochondrial translational elongation,70/759,84/12848,6.659449330208551e-73,6.569546764250736e-70,6.240605017071751e-70,MRPS10/MRPL43/MRPS35/MRPS24/MRPL22/MRPS33/MRPS18A/MRPS31/MRPL32/MRPL27/MRPL51/MRPL18/MRPS30/MRPS27/MRPL3/MRPL19/MRPL37/MRPS15/MRPS14/MRPS2/TSFM/MRPS7/MRPS26/MRPL34/PTCD3/ERAL1/DAP3/MRPS36/MRPL44/MRPS9/MRPL47/MRPL50/MRPL15/MRPL24/MRPL9/MRPS5/MRPS28/MRPL49/MRPL39/MRPL17/MRPL10/MRPL55/MRPS18C/MRPL16/MRPL58/GFM1/MRPL1/MRPL13/CHCHD1/MRPL52/MRPL57/MRPL11/MRPS22/MRPL48/TUFM/MRPL14/MRPS23/MRPS11/MRPS16/MRPL54/MRPL30/MRPL40/MRPL53/MRPL23/MRPL20/MRPL33/MRPS6/MRPL46/MRPL12/MRPS21,70
BP,GO:0070126,mitochondrial translational termination,70/759,84/12848,6.659449330208551e-73,6.569546764250736e-70,6.240605017071751e-70,MRPS10/MRPL43/MRPS35/MRPS24/MRPL22/MRPS33/MRPS18A/MRPS31/MRPL32/MRPL27/MRPL51/MTRF1L/MRPL18/MRPS30/MRPS27/MRPL3/MRPL19/MRPL37/MRPS15/MRPS14/MTRF1/MRPS2/MRPS7/MRPS26/MRPL34/PTCD3/ERAL1/DAP3/MRPS36/MRPL44/MRPS9/MRPL47/MRPL50/MRPL15/MRPL24/MRPL9/MRPS5/MRPS28/MRRF/MRPL49/MRPL39/MRPL17/MRPL10/MRPL55/MRPS18C/MRPL16/MRPL58/MRPL1/MRPL13/CHCHD1/MRPL52/MRPL57/MRPL11/MRPS22/MRPL48/MRPL14/MRPS23/MRPS11/MRPS16/MRPL54/MRPL30/MRPL40/MRPL53/MRPL23/MRPL20/MRPL33/MRPS6/MRPL46/MRPL12/MRPS21,70
BP,GO:0006415,translational termination,70/759,99/12848,8.138816232338344e-64,6.42315377056142e-61,6.101542021759335e-61,MRPS10/MRPL43/MRPS35/MRPS24/MRPL22/MRPS33/MRPS18A/MRPS31/MRPL32/MRPL27/MRPL51/MTRF1L/MRPL18/MRPS30/MRPS27/MRPL3/MRPL19/MRPL37/MRPS15/MRPS14/MTRF1/MRPS2/MRPS7/MRPS26/MRPL34/PTCD3/ERAL1/DAP3/MRPS36/MRPL44/MRPS9/MRPL47/MRPL50/MRPL15/MRPL24/MRPL9/MRPS5/MRPS28/MRRF/MRPL49/MRPL39/MRPL17/MRPL10/MRPL55/MRPS18C/MRPL16/MRPL58/MRPL1/MRPL13/CHCHD1/MRPL52/MRPL57/MRPL11/MRPS22/MRPL48/MRPL14/MRPS23/MRPS11/MRPS16/MRPL54/MRPL30/MRPL40/MRPL53/MRPL23/MRPL20/MRPL33/MRPS6/MRPL46/MRPL12/MRPS21,70
BP,GO:0045333,cellular respiration,85/759,164/12848,6.893711567155866e-61,4.533764307332841e-58,4.30675559484948e-58,NDUFAB1/SLC25A13/CS/NDUFB4/SDHA/COQ9/NDUFB2/DLD/ATP5F1D/NDUFB7/IDH3B/ETFB/OGDH/NDUFC1/NDUFS8/COX6A1/NNT/NDUFS7/COQ10B/COX7A2L/SDHB/NDUFB3/NDUFA8/COX6B1/COX7C/UQCR11/NDUFA5/NDUFA10/COX4I1/COX7B/NDUFA2/AFG1L/COX5B/ISCU/SUCLA2/NDUFB5/NDUFAF1/PNPT1/IDH1/NDUFA9/ETFA/UQCRC2/NDUFB10/SIRT3/SDHC/NDUFS6/MDH2/NDUFB11/NDUFB9/DLAT/NDUFC2/ME3/UQCRB/NDUFS2/NDUFV3/NDUFS4/UQCRQ/COX6C/NDUFB6/NDUFB8/IDH3A/NDUFV1/COA6/NDUFS5/ETFDH/CYCS/UQCRH/NDUFA11/COX8A/NDUFV2/COX5A/CYC1/FAHD1/DHTKD1/IDH2/NDUFB1/UQCR10/NDUFA12/NDUFA13/NDUFA4/SDHD/ETFRF1/NDUFS3/NDUFA7/SCO2,85
BP,GO:0006119,oxidative phosphorylation,76/759,128/12848,1.6331687899504765e-60,9.20640577877797e-58,8.74543467821601e-58,NDUFAB1/NDUFB4/SDHA/COQ9/NDUFB2/DLD/ATP5F1D/NDUFB7/PPIF/NDUFC1/NDUFS8/ATP5F1B/COX6A1/COX7A2/NDUFS7/COX7A2L/ATP5PB/NDUFB3/NDUFA8/ATP5F1E/COX6B1/COX7C/UQCR11/NDUFA5/NDUFA10/COX4I1/COX7B/NDUFA2/AFG1L/COX5B/ISCU/NDUFB5/UQCC2/NDUFAF1/NDUFA9/UQCRC2/NDUFB10/SDHC/NDUFS6/NIPSNAP2/NDUFB11/NDUFB9/NDUFC2/ATP5PF/UQCRB/NDUFS2/NDUFV3/NDUFS4/UQCRQ/COX6C/NDUFB6/ATP5F1C/NDUFB8/ATP5MG/NDUFV1/ATP5PD/COA6/NDUFS5/CYCS/TEFM/UQCRH/NDUFA11/COX8A/NDUFV2/COX5A/CYC1/NDUFB1/UQCR10/NDUFA12/NDUFA13/NDUFA4/SDHD/NDUFS3/ATP5PO/NDUFA7/CHCHD10,76
BP,GO:0022904,respiratory electron transport chain,68/759,104/12848,2.396294598796727e-58,1.1819723108564856e-55,1.1227901403046243e-55,NDUFAB1/SLC25A13/NDUFB4/SDHA/COQ9/NDUFB2/DLD/NDUFB7/ETFB/NDUFC1/NDUFS8/COX6A1/NDUFS7/COX7A2L/SDHB/NDUFB3/NDUFA8/COX6B1/COX7C/UQCR11/NDUFA5/NDUFA10/COX4I1/COX7B/NDUFA2/AFG1L/COX5B/ISCU/NDUFB5/NDUFAF1/NDUFA9/ETFA/UQCRC2/NDUFB10/SDHC/NDUFS6/NDUFB11/NDUFB9/NDUFC2/UQCRB/NDUFS2/NDUFV3/NDUFS4/UQCRQ/COX6C/NDUFB6/NDUFB8/NDUFV1/COA6/NDUFS5/ETFDH/CYCS/UQCRH/NDUFA11/COX8A/NDUFV2/COX5A/CYC1/NDUFB1/UQCR10/NDUFA12/NDUFA13/NDUFA4/SDHD/ETFRF1/NDUFS3/NDUFA7/SCO2,68
BP,GO:0022900,electron transport chain,79/759,156/12848,1.4685011345085269e-55,6.438561640856275e-53,6.116178409339022e-53,NDUFAB1/SLC25A13/GLRX2/NDUFB4/MAOB/SDHA/COQ9/NDUFB2/DLD/NDUFB7/IDH3B/ETFB/NDUFC1/NDUFS8/COX6A1/COX7A2/NDUFS7/COX7A2L/SDHB/AKR1A1/NDUFB3/NDUFA8/COX6B1/COX7C/UQCR11/NDUFA5/NDUFA10/COX4I1/COX7B/NDUFA2/AFG1L/COX5B/ISCU/NDUFB5/FDX1/NDUFAF1/NDUFA9/ETFA/UQCRC2/NDUFB10/SDHC/NDUFS6/NDUFB11/NDUFB9/NDUFC2/UQCRB/NDUFS2/NDUFV3/NDUFAF2/NDUFS4/UQCRQ/COX6C/NDUFB6/NDUFB8/COX11/CYB5A/NDUFV1/COA6/NDUFS5/ETFDH/CYCS/UQCRH/NDUFA11/COX8A/NDUFV2/COX5A/CYC1/NDUFB1/UQCR10/NDUFA12/NDUFA13/NDUFA4/ADH5/SDHD/ETFRF1/NDUFS3/FDX2/NDUFA7/SCO2,79
BP,GO:0042773,ATP synthesis coupled electron transport,61/759,89/12848,2.499395241497596e-54,9.607793775444979e-52,9.126724900461378e-52,NDUFAB1/NDUFB4/SDHA/COQ9/NDUFB2/DLD/NDUFB7/NDUFC1/NDUFS8/COX6A1/NDUFS7/COX7A2L/NDUFB3/NDUFA8/COX6B1/COX7C/UQCR11/NDUFA5/NDUFA10/COX4I1/COX7B/NDUFA2/AFG1L/COX5B/ISCU/NDUFB5/NDUFAF1/NDUFA9/UQCRC2/NDUFB10/SDHC/NDUFS6/NDUFB11/NDUFB9/NDUFC2/UQCRB/NDUFS2/NDUFV3/NDUFS4/UQCRQ/COX6C/NDUFB6/NDUFB8/NDUFV1/COA6/NDUFS5/CYCS/UQCRH/NDUFA11/COX8A/NDUFV2/COX5A/CYC1/NDUFB1/UQCR10/NDUFA12/NDUFA13/NDUFA4/SDHD/NDUFS3/NDUFA7,61
