ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0051783,regulation of nuclear division,25/669,109/12848,2.3511582719417425e-10,1.0098224777989784e-6,9.191791391570139e-7,EDN1/NDC80/AURKA/RGCC/HOXA13/NEK2/DUSP1/ZWINT/DLGAP5/PKMYT1/CCNB1/BORA/NUSAP1/KIF20B/HORMAD1/STRA8/CDC25C/MSX1/TGFA/MAD2L1/CDT1/BUB1/AURKB/KNTC1/OOEP,25
BP,GO:0048285,organelle fission,49/669,387/12848,6.354929908855735e-9,9.669800292322473e-6,8.801822997533403e-6,RAD51/SMC1B/EDN1/NDC80/AURKA/KIF4A/MYBL2/RGCC/HOXA13/NEK2/DUSP1/ZWINT/CENPK/DLGAP5/PKMYT1/KDR/FIGNL1/CCNB1/CDCA8/BORA/BRIP1/NUSAP1/KIF11/KIF20B/CENPE/BRCA2/KIF2C/NUF2/HORMAD1/MTFR2/STRA8/EME1/CCNB2/CDC25C/MSX1/TGFA/SGO2/MAD2L1/CDT1/REEP4/BUB1/TMCC1/BNIP3/AURKB/KNTC1/KIF18B/RAD54B/OOEP/MEIKIN,49
BP,GO:0007088,regulation of mitotic nuclear division,21/669,93/12848,8.762258980240443e-9,9.669800292322473e-6,8.801822997533403e-6,EDN1/NDC80/AURKA/RGCC/HOXA13/NEK2/DUSP1/ZWINT/DLGAP5/PKMYT1/CCNB1/BORA/NUSAP1/KIF20B/CDC25C/TGFA/MAD2L1/CDT1/BUB1/AURKB/KNTC1,21
BP,GO:0000280,nuclear division,45/669,343/12848,9.00563473091732e-9,9.669800292322473e-6,8.801822997533403e-6,RAD51/SMC1B/EDN1/NDC80/AURKA/KIF4A/MYBL2/RGCC/HOXA13/NEK2/DUSP1/ZWINT/CENPK/DLGAP5/PKMYT1/FIGNL1/CCNB1/CDCA8/BORA/BRIP1/NUSAP1/KIF11/KIF20B/CENPE/BRCA2/KIF2C/NUF2/HORMAD1/STRA8/EME1/CCNB2/CDC25C/MSX1/TGFA/SGO2/MAD2L1/CDT1/REEP4/BUB1/AURKB/KNTC1/KIF18B/RAD54B/OOEP/MEIKIN,45
BP,GO:0001708,cell fate specification,15/669,53/12848,4.718749107175138e-8,4.053405483063443e-5,3.6895650913786235e-5,TBX21/TBX5/TBX15/HOXA13/TBX18/FOXA2/SIX1/MNX1/GSC/TBX19/SFRP2/POU4F1/WNT3A/EOMES/MIAT,15
BP,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,23/669,127/12848,1.4005414588747934e-7,1.002554260977873e-4,9.125633295194707e-5,PCDHB2/PCDHB6/PCDHB15/PCDH17/PCDHB12/PCDHB18P/CDH8/EMB/PTPRM/PCDHB11/PCDHGA1/PCDHGC3/PCDHGA5/PCDHGA7/PCDHGA6/PCDHGA8/PCDHGA11/PCDHGB2/PCDHGB7/PCDHGB1/PCDHGB3/PCDHGA4/PCDHB16,23
BP,GO:0000075,cell cycle checkpoint,27/669,174/12848,3.188938449309101e-7,1.9566415199689412e-4,1.7810101354487224e-4,GTSE1/NDC80/ORC1/BAX/AURKA/WDR76/CLSPN/CDC45/RGCC/DUSP1/ZWINT/E2F8/CCNB1/BRIP1/TICRR/HORMAD1/EME1/CDC25C/ZNF385A/MAD2L1/CDT1/BUB1/SOX11/AURKB/KNTC1/BLM/RPA4,27
BP,GO:0140014,mitotic nuclear division,34/669,255/12848,4.138471794780637e-7,2.2218420448228546e-4,2.022405821817801e-4,SMC1B/EDN1/NDC80/AURKA/KIF4A/MYBL2/RGCC/HOXA13/NEK2/DUSP1/ZWINT/CENPK/DLGAP5/PKMYT1/CCNB1/CDCA8/BORA/NUSAP1/KIF11/KIF20B/CENPE/KIF2C/NUF2/CCNB2/CDC25C/TGFA/SGO2/MAD2L1/CDT1/REEP4/BUB1/AURKB/KNTC1/KIF18B,34
BP,GO:0045165,cell fate commitment,25/669,160/12848,7.618561626397775e-7,3.5943244195422156e-4,3.2716919047067676e-4,ARX/PITX1/TBX21/TBX5/TBX15/HOXA13/NR2E1/TBX18/PRRX1/MYOG/FOXA2/SIX1/DLL4/MNX1/GSC/IRF4/TBX19/DLX1/SFRP2/POU4F1/WNT3A/EOMES/FOXC2/EBF2/MIAT,25
BP,GO:0007389,pattern specification process,36/669,288/12848,9.268568982276865e-7,3.5943244195422156e-4,3.2716919047067676e-4,SEMA3F/TBX21/EDN1/AURKA/TBX5/FOXF1/RPGRIP1L/TBX18/STIL/FOXA2/TCF15/SIX1/HOXD13/DLL4/GSC/LRP4/ACVRL1/TBX19/DLX1/SFRP2/HHEX/WNT3A/STC1/EN1/MSX1/EOMES/HEYL/SPRY1/DNAI2/FOXC2/NOG/CYP26C1/HES4/XRCC2/NRARP/OOEP,36
BP,GO:0030326,embryonic limb morphogenesis,17/669,83/12848,1.0042349949826911e-6,3.5943244195422156e-4,3.2716919047067676e-4,DLX6/PITX1/BAX/TBX5/SALL4/RPGRIP1L/DLX5/HOXA13/PRRX1/HOXD13/LRP4/SFRP2/EN1/MSX1/SHOX2/CHST11/NOG,17
BP,GO:0035113,embryonic appendage morphogenesis,17/669,83/12848,1.0042349949826911e-6,3.5943244195422156e-4,3.2716919047067676e-4,DLX6/PITX1/BAX/TBX5/SALL4/RPGRIP1L/DLX5/HOXA13/PRRX1/HOXD13/LRP4/SFRP2/EN1/MSX1/SHOX2/CHST11/NOG,17
BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,29/669,210/12848,1.4282161430279755e-6,4.491122359292484e-4,4.0879917756049967e-4,TENM1/FXYD5/CBLN1/CRTAM/PCDHB2/PCDHB6/PCDHB15/PCDH17/PCDHB12/PCDHB18P/CDH8/EMB/PTPRM/SELL/NTNG2/PCDHB11/PCDHGA1/PCDHGC3/PCDHGA5/PCDHGA7/PCDHGA6/PCDHGA8/PCDHGA11/PCDHGB2/PCDHGB7/PCDHGB1/PCDHGB3/PCDHGA4/PCDHB16,29
