ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0050865,regulation of cell activation,62/399,465/12848,5.920042710910294e-23,2.3620970416532077e-19,1.8532849497102335e-19,BTK/TYROBP/CD84/PAG1/UNC13D/TREM2/LGALS1/HMOX1/GRAP2/CD40/NFATC2/CORO1A/PYCARD/CD276/RASAL3/JAK3/CAV1/AHR/PTPN6/HAVCR1/HHLA2/ZAP70/PLEK/CD2/SASH3/NCKAP1L/ADGRE2/RAC2/LILRB2/LGALS3/PRAM1/ANXA1/HAVCR2/SLC15A4/VAV1/UBASH3B/ENPP3/SAMSN1/VSIG4/MMP14/FCER1G/RUNX1/ITGB2/LAPTM5/VCAM1/TNFAIP8L2/SPTA1/MNDA/CGAS/CD300A/CCDC88B/INPP5D/LGALS9/MZB1/TBC1D10C/ADA/SIRPA/CD3E/HLA-DRA/HLA-E/HLA-F/HLA-DMB,62
BP,GO:0002275,myeloid cell activation involved in immune response,63/399,488/12848,1.474760579868814e-22,2.9421473568382843e-19,2.3083884023841333e-19,BTK/TYROBP/CD44/SLC2A3/CD84/PKM/IFI35/STK10/FCN1/UNC13D/TREM2/HMOX1/PYCARD/PIK3CG/ALDOC/BIN2/PTPN6/HVCN1/PRDX4/ARHGAP9/NCKAP1L/NMI/TNFAIP6/CD93/ADGRE2/RAC2/CD68/CRACR2A/GMFG/LILRB2/LGALS3/SNAP25/PRAM1/DOCK2/HAVCR2/CD36/SLC15A4/CD53/S100A8/DEGS1/DOK3/ALDOA/LPCAT1/ENPP3/FCER1G/ITGB2/HK3/S100A9/S100A12/MNDA/B2M/CD300A/LGALS9/TBC1D10C/ARHGAP45/RAP2B/ANXA2/STING1/C5AR1/SIRPA/HLA-B/HBB/HP,63
BP,GO:0002694,regulation of leukocyte activation,59/399,433/12848,2.431139113792563e-22,3.2334150213441086e-19,2.5369149910242397e-19,BTK/TYROBP/CD84/PAG1/UNC13D/TREM2/LGALS1/HMOX1/GRAP2/CD40/NFATC2/CORO1A/PYCARD/CD276/RASAL3/JAK3/CAV1/AHR/PTPN6/HAVCR1/HHLA2/ZAP70/CD2/SASH3/NCKAP1L/ADGRE2/RAC2/LILRB2/LGALS3/PRAM1/ANXA1/HAVCR2/SLC15A4/VAV1/ENPP3/SAMSN1/VSIG4/MMP14/RUNX1/ITGB2/LAPTM5/VCAM1/TNFAIP8L2/SPTA1/MNDA/CGAS/CD300A/CCDC88B/INPP5D/LGALS9/MZB1/TBC1D10C/ADA/SIRPA/CD3E/HLA-DRA/HLA-E/HLA-F/HLA-DMB,59
BP,GO:0043299,leukocyte degranulation,60/399,477/12848,6.465292324873044e-21,6.449129094060861e-18,5.059941940571693e-18,BTK/TYROBP/CD44/SLC2A3/CD84/PKM/STK10/FCN1/UNC13D/HMOX1/CORO1A/PYCARD/PIK3CG/ALDOC/BIN2/PTPN6/HVCN1/PRDX4/ARHGAP9/NCKAP1L/TNFAIP6/CD93/ADGRE2/RAC2/CD68/CRACR2A/GMFG/LILRB2/LGALS3/SNAP25/PRAM1/DOCK2/CD36/SLC15A4/CD53/S100A8/DEGS1/DOK3/ALDOA/LPCAT1/FCER1G/ITGB2/HK3/S100A9/S100A12/MNDA/B2M/CD300A/LGALS9/TBC1D10C/ARHGAP45/RAP2B/ANXA2/STING1/C5AR1/SIRPA/HLA-F/HLA-B/HBB/HP,60
BP,GO:0002444,myeloid leukocyte mediated immunity,59/399,491/12848,1.3880437201870278e-19,1.1076588887092482e-16,8.690614787023623e-17,BTK/TYROBP/CD44/SLC2A3/CD84/PKM/STK10/FCN1/UNC13D/HMOX1/PYCARD/PIK3CG/ALDOC/BIN2/PTPN6/HVCN1/PRDX4/ARHGAP9/NCKAP1L/TNFAIP6/CD93/ADGRE2/RAC2/CD68/CRACR2A/GMFG/LILRB2/LGALS3/SNAP25/PRAM1/DOCK2/CD36/SLC15A4/CD53/S100A8/DEGS1/DOK3/ALDOA/LPCAT1/FCER1G/ITGB2/HK3/S100A9/S100A12/MNDA/B2M/CD300A/LGALS9/TBC1D10C/ARHGAP45/RAP2B/ANXA2/STING1/C5AR1/SIRPA/HLA-E/HLA-B/HBB/HP,59
BP,GO:0050900,leukocyte migration,51/399,373/12848,1.9095222124827054e-19,1.2698322713009992e-16,9.963015894602746e-17,CD44/CD84/STK10/ADD2/ICAM1/TREM2/HSD3B7/HMOX1/CORO1A/PYCARD/PIK3CG/CAV1/COL1A1/PTPN6/VEGFA/ZAP70/FN1/CD2/CD48/TNFRSF10B/CXCR4/NCKAP1L/ADGRE2/RAC2/LGALS3/ANXA1/MYO1G/GYPC/SLC16A3/VAV1/S100A8/DOK2/TRIM55/MMP14/FCER1G/ITGB2/CXCL16/VCAM1/S100A9/S100A12/CD300A/INPP5D/LGALS9/PDGFD/IL16/CSF1R/CAMK1D/ADA/C5AR1/SIRPA/STK39,51
BP,GO:0051249,regulation of lymphocyte activation,50/399,371/12848,8.34549718031792e-19,4.756933392781215e-16,3.732256934476014e-16,BTK/TYROBP/PAG1/LGALS1/GRAP2/CD40/NFATC2/CORO1A/PYCARD/CD276/RASAL3/JAK3/CAV1/AHR/PTPN6/HHLA2/ZAP70/CD2/SASH3/NCKAP1L/RAC2/LILRB2/LGALS3/ANXA1/HAVCR2/SLC15A4/VAV1/SAMSN1/VSIG4/MMP14/RUNX1/LAPTM5/VCAM1/TNFAIP8L2/SPTA1/MNDA/CGAS/CD300A/CCDC88B/INPP5D/LGALS9/MZB1/TBC1D10C/ADA/SIRPA/CD3E/HLA-DRA/HLA-E/HLA-F/HLA-DMB,50
BP,GO:0007159,leukocyte cell-cell adhesion,44/399,303/12848,6.814933098980134e-18,3.398947883116342e-15,2.6667909258377525e-15,CD44/STK10/ADD2/PAG1/ICAM1/LGALS1/GRAP2/CORO1A/PYCARD/CD276/RASAL3/JAK3/CAV1/PTPN6/HHLA2/ZAP70/SASH3/NCKAP1L/RAC2/LILRB2/LGALS3/ANXA1/HAVCR2/VAV1/S100A8/TNIP1/FERMT3/VSIG4/RUNX1/ITGB2/LAPTM5/VCAM1/TNFAIP8L2/S100A9/SPTA1/CD300A/CCDC88B/LGALS9/ADA/SIRPA/CD3E/HLA-DRA/HLA-E/HLA-DMB,44
BP,GO:0070661,leukocyte proliferation,39/399,250/12848,4.72293540663802e-17,2.0938346969428555e-14,1.6428081753615756e-14,BTK/TYROBP/TREM2/CD40/NFATC2/CORO1A/PYCARD/CD276/RASAL3/JAK3/PIK3CG/AHR/PTPN6/HHLA2/ZAP70/SASH3/NCKAP1L/RAC2/LILRB2/LGALS3/CD180/DOCK2/ANXA1/HAVCR2/ENPP3/VSIG4/VCAM1/SPTA1/MNDA/CD300A/CCDC88B/INPP5D/LGALS9/MZB1/CSF1R/ADA/CD3E/HLA-E/HLA-DMB,39
BP,GO:0070663,regulation of leukocyte proliferation,35/399,203/12848,8.346879637865626e-17,3.330404975508385e-14,2.6130126361065654e-14,BTK/TYROBP/CD40/NFATC2/CORO1A/PYCARD/CD276/RASAL3/JAK3/AHR/PTPN6/HHLA2/ZAP70/SASH3/NCKAP1L/RAC2/LILRB2/LGALS3/ANXA1/HAVCR2/ENPP3/VSIG4/VCAM1/SPTA1/MNDA/CD300A/CCDC88B/INPP5D/LGALS9/MZB1/CSF1R/ADA/CD3E/HLA-E/HLA-DMB,35
