motif_id	sequence_name	protein_TF_logFC	rna_target_logFC	protein_TF_padj
STAT1	FGFR3	0.911076267529668	0.0828572720892265	8.477613241601761e-46
STAT1	ZNF12	0.911076267529668	0.207390759918494	8.477613241601761e-46
STAT1	BCL6	0.911076267529668	0.0	8.477613241601761e-46
STAT1	ZNF282	0.911076267529668	0.166836972312118	8.477613241601761e-46
STAT1	ZNF79	0.911076267529668	0.0	8.477613241601761e-46
STAT1	MET	0.911076267529668	0.903580086821715	8.477613241601761e-46
STAT1	JAK2	0.911076267529668	0.327926003324231	8.477613241601761e-46
STAT1	PROS1	0.911076267529668	0.234820393143954	8.477613241601761e-46
STAT1	ZNF267	0.911076267529668	0.0	8.477613241601761e-46
STAT1	DDX50	0.911076267529668	0.0958076394677954	8.477613241601761e-46
STAT1	PML	0.911076267529668	0.645964120819852	8.477613241601761e-46
STAT1	IL12RB2	0.911076267529668	0.0	8.477613241601761e-46
STAT1	ZNF343	0.911076267529668	0.0	8.477613241601761e-46
STAT1	IDO1	0.911076267529668	1.38162931527491	8.477613241601761e-46
STAT1	ZNF311	0.911076267529668	0.0	8.477613241601761e-46
STAT1	FCGR3A	0.911076267529668	1.51422228810046	8.477613241601761e-46
STAT1	IL10	0.911076267529668	0.0	8.477613241601761e-46
STAT1	INO80	0.911076267529668	0.101459222134891	8.477613241601761e-46
STAT1	SNRNP27	0.911076267529668	0.229332663310559	8.477613241601761e-46
STAT1	CLIC2	0.911076267529668	0.0849787461364414	8.477613241601761e-46
STAT1	IRF7	0.911076267529668	0.447823125609343	8.477613241601761e-46
STAT1	JUN	0.911076267529668	0.396769289150696	8.477613241601761e-46
STAT1	HLA-E	0.911076267529668	0.667142952510408	8.477613241601761e-46
STAT1	IRF1	0.911076267529668	0.378570602762277	8.477613241601761e-46
STAT1	ZNF764	0.911076267529668	0.0	8.477613241601761e-46
STAT1	RIPK1	0.911076267529668	0.130340551360425	8.477613241601761e-46
STAT1	ZNF490	0.911076267529668	0.0	8.477613241601761e-46
STAT1	PTTG1IP	0.911076267529668	0.0131716145271471	8.477613241601761e-46
STAT1	OAS3	0.911076267529668	0.842893538295576	8.477613241601761e-46
STAT1	ZNF333	0.911076267529668	0.0	8.477613241601761e-46
STAT1	IL12A	0.911076267529668	0.0	8.477613241601761e-46
STAT1	EGLN3	0.911076267529668	0.0	8.477613241601761e-46
STAT1	CD274	0.911076267529668	0.669346018461415	8.477613241601761e-46
STAT1	IRF8	0.911076267529668	-0.141389433009611	8.477613241601761e-46
STAT1	JUNB	0.911076267529668	0.50221381423007	8.477613241601761e-46
STAT1	ETV7	0.911076267529668	0.0	8.477613241601761e-46
STAT1	FBXO5	0.911076267529668	0.0	8.477613241601761e-46
STAT1	MVP	0.911076267529668	0.735821462303729	8.477613241601761e-46
STAT1	IGF1	0.911076267529668	-0.0524556645107882	8.477613241601761e-46
STAT1	PRF1	0.911076267529668	0.904251735586722	8.477613241601761e-46
STAT1	ZNF630	0.911076267529668	0.0	8.477613241601761e-46
STAT1	IFITM1	0.911076267529668	-0.0015933706086629	8.477613241601761e-46
STAT1	ZNF354A	0.911076267529668	0.0	8.477613241601761e-46
STAT1	SOCS5	0.911076267529668	0.0	8.477613241601761e-46
STAT1	TNFSF11	0.911076267529668	0.0	8.477613241601761e-46
STAT1	FCGR1A	0.911076267529668	1.15791419032475	8.477613241601761e-46
STAT1	PRKCE	0.911076267529668	-0.276354656598347	8.477613241601761e-46
STAT1	ICAM1	0.911076267529668	1.13258769045836	8.477613241601761e-46
STAT1	ZNF550	0.911076267529668	0.0	8.477613241601761e-46
STAT1	SEMA4B	0.911076267529668	0.193576023013304	8.477613241601761e-46
STAT1	KIF2A	0.911076267529668	0.533696858403292	8.477613241601761e-46
STAT1	ZFP1	0.911076267529668	0.242914410883376	8.477613241601761e-46
STAT1	TIMP1	0.911076267529668	0.122213853529905	8.477613241601761e-46
STAT1	ISG15	0.911076267529668	0.866655128636273	8.477613241601761e-46
STAT1	PLSCR1	0.911076267529668	0.321972332494308	8.477613241601761e-46
STAT1	SCARB1	0.911076267529668	1.54270967158097	8.477613241601761e-46
STAT1	ZFP30	0.911076267529668	0.0	8.477613241601761e-46
STAT1	DCLRE1C	0.911076267529668	0.0	8.477613241601761e-46
STAT1	CD40	0.911076267529668	0.775495182284883	8.477613241601761e-46
STAT1	EDN1	0.911076267529668	0.0	8.477613241601761e-46
STAT1	CEBPE	0.911076267529668	0.0	8.477613241601761e-46
STAT1	EIF2AK2	0.911076267529668	0.169202404379226	8.477613241601761e-46
STAT1	COL1A2	0.911076267529668	0.732515973272232	8.477613241601761e-46
STAT1	OAS2	0.911076267529668	1.03031215749731	8.477613241601761e-46
