id,external_gene_name,Regulation_Grouping_2,Integrated padj (Stage IV-Stage I),Integrated pval (Stage IV-Stage I),Integrated diff (Stage IV-Stage I),mannwhitneyu stat (Stage IV-Stage I),Integrated mean (Stage I),Integrated mean (Stage IV),Protein-LogFC mean (Stage IV-Stage I),RNA-LogFC mean (Stage IV-Stage I),CpG-LogFC mean (Stage IV-Stage I),hgnc_symbol,entrezgene_id,Locus,logFC_rna,padj_rna,CpG_Beta_diff,padj_meth,logFC_protein,padj_protein
ENSG00000000005,TNMD,TPDS_TMDE,0.3477144315737348,0.22576951120491795,-0.07367029041051865,190.0,0.12519228,0.051521994,0.0,-0.2039418821070338,-0.12853170575514872,TNMD,64102.0,cg16822540,-1.2249283459782099,2.2764782331531597e-09,-0.3227685604953261,1.57533766452278e-36,0.0,1.0
ENSG00000003096,KLHL13,TPDS_TMDE,0.4956472692261204,0.4956472692261204,-0.005226612091064453,224.0,1.3506468999999999,1.3454202,-0.13393312042832534,-0.1831289908298337,0.011558585693325782,KLHL13,90293.0,cg03910337,-1.9951144778543002,2.0574945535529398e-98,-0.0736191831446873,3.9732756442575793e-25,-0.334346029971229,1.8768901571558895e-26
ENSG00000004939,SLC4A1,TPDS_TMDE,0.07107988964818789,0.01066198344722818,-0.18941569328308105,119.0,1.255321,1.0659053,-0.07198942386831209,0.6723958061898756,-0.01987653619649686,SLC4A1,6521.0,cg04433322,-5.779428343848551,1.2472092309834695e-104,-0.1292982133259105,5.495074519261889e-25,1.36812729953255,1.08297404878098e-31
ENSG00000005001,PRSS22,TPDS_TMDE,0.1194876172459452,0.02810483391559556,-0.3023414611816406,137.0,-0.638235,-0.94057643,0.0,-0.5702259519192643,-0.01043076979640578,PRSS22,64063.0,cg06186790,-5.086436325123651,2.4613519655940897e-64,-0.1687638866267185,2.22298870900669e-31,0.0,1.0
ENSG00000006071,ABCC8,TPDS_TMDE,0.3667410806470971,0.2528447309531747,0.06297934055328369,194.0,-0.16791093,-0.10493159,0.0,0.1981116924834649,0.04882380282831408,ABCC8,6833.0,cg14051368,-1.7554684742392799,4.8091268685824006e-24,-0.1337942818810536,8.15603080646628e-34,0.0,1.0
ENSG00000006432,MAP3K9,TPDS_TMDE,0.10373053096130752,0.02176880156793637,0.38536590337753296,132.0,-0.18715802,0.19820787,0.0,0.3553858971494208,-0.016777936601101842,MAP3K9,4293.0,cg12814766,-1.8532844532413402,1.0493443433912398e-71,-0.0894382298706881,8.297450747379418e-50,0.0,1.0
ENSG00000007001,UPP2,TPDS_TMDE,0.3807471992126987,0.2815384219530519,-0.16217100620269775,198.0,-0.58973676,-0.75190777,0.0,-0.06331137181621926,0.057871543050250836,UPP2,151531.0,cg07151747,-3.7964894359740096,3.968772761524799e-143,-0.0982442864594918,1.23935839693028e-10,0.0,1.0
ENSG00000007516,BAIAP3,TPDS_TMDE,0.02209016909071427,0.0011667342829602607,-0.5899891257286072,85.0,0.39543340000000005,-0.19455571,0.0,-0.42857544349902005,0.02994371595672652,BAIAP3,8938.0,cg06161600,-1.07474926834746,5.7603870538080796e-21,-0.2850776841912397,2.4192314486949193e-76,0.0,1.0
ENSG00000008226,DLEC1,TPDS_TMDE,0.2299265521887915,0.1008762267701529,-0.1638146936893463,166.0,0.035706755,-0.12810794,0.0,-0.07078001974710713,0.014209912298012162,DLEC1,9940.0,cg13063313,-1.41783142788036,6.313062368270019e-66,-0.1543438542572117,3.30149062502278e-63,0.0,1.0
ENSG00000010319,SEMA3G,TPDS_TMDE,0.3477144315737348,0.22576951120491795,-0.0058504343032836905,190.0,1.3116052,1.3057548,-0.12534667764060406,-1.3690474995004394,0.023715102243898417,SEMA3G,56920.0,cg08448751,-1.01182833166427,4.2789351793008985e-12,-0.1242545907103508,1.5262745126983602e-44,-0.0529930516600759,0.287316676694551
ENSG00000011347,SYT7,TPDS_TMDE,0.4328448025115183,0.3758434095047197,-0.005427360534667969,210.0,1.0793358999999998,1.0739086000000002,-0.0677302976680401,0.37292941739976815,-0.055640079562023485,SYT7,9066.0,cg13027727,-3.7691030611419998,1.6892332352370396e-80,-0.1604704025170886,4.233763449954739e-51,-0.0901124607455372,0.26981800504923104
ENSG00000013297,CLDN11,TPDS_TMDE,0.2991035113856261,0.17124729208205214,0.14599856734275818,181.0,-0.04776502,0.09823355,0.0,0.8289120735460441,0.03921242492368071,CLDN11,5010.0,cg25620760,-1.8435312223426399,2.5986495991524902e-25,-0.2828802694225786,9.141728422439988e-77,0.0,1.0
ENSG00000019549,SNAI2,TPDS_TMDE,0.21393279030777254,0.0897915091714313,0.20375752449035645,163.0,1.1153209,1.3190784,-0.07827332647462197,0.36643052161346384,0.006532855278176077,SNAI2,6591.0,cg09881855,-1.01603808531171,8.86300680687276e-18,0.0456956564368662,4.827252421301279e-27,-0.0178335538775009,0.786890922901631
ENSG00000022556,NLRP2,TPDS_TMDE,0.06803961674578846,0.010062196842687023,0.3675854206085205,118.0,-0.08608886,0.28149655,0.0,0.5387024537926102,-0.03046238196935433,NLRP2,55655.0,cg06607594,-1.6364598983237202,7.95510066819441e-21,-0.1590857417972847,6.007809656609729e-50,0.0,1.0
