"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002694","BP","GO:0002694","regulation of leukocyte activation","66/412","467/14417",7.49385254868383e-28,3.01552626559037e-24,2.32388311667606e-24,"TREM2/ENPP3/PAG1/SLC15A4/CAV1/TYROBP/LAPTM5/CD300A/CGAS/LILRB4/CD40/BTK/HLA-F/LGALS1/CD84/HLA-DPB1/NCKAP1L/LGALS9/SASH3/RASAL3/HLA-DRA/HLA-DPA1/MNDA/ITGB2/MMP14/HLA-DMB/CCDC88B/INPP5D/HLA-E/VAV1/HLA-A/PTPRC/CCL5/TNFAIP8L2/CORO1A/PYCARD/AHR/SIRPA/JAK3/CD276/RAC2/PTPN6/CD2/HMOX1/ADA/ANXA1/AIF1/SAMSN1/LILRB2/UNC13D/PRAM1/VSIG4/LGALS3/ZAP70/SPTA1/VCAM1/GRAP2/TBC1D10C/CD3E/RUNX1/ADGRE2/HAVCR1/NFATC2/HHLA2/HAVCR2/MZB1",66
"GO:0051249","BP","GO:0051249","regulation of lymphocyte activation","57/412","394/14417",1.33356394378385e-24,2.68313065489311e-21,2.06772598862486e-21,"PAG1/SLC15A4/CAV1/TYROBP/LAPTM5/CD300A/CGAS/LILRB4/CD40/BTK/HLA-F/LGALS1/HLA-DPB1/NCKAP1L/LGALS9/SASH3/RASAL3/HLA-DRA/HLA-DPA1/MNDA/MMP14/HLA-DMB/CCDC88B/INPP5D/HLA-E/VAV1/HLA-A/PTPRC/CCL5/TNFAIP8L2/CORO1A/PYCARD/AHR/SIRPA/JAK3/CD276/RAC2/PTPN6/CD2/ADA/ANXA1/AIF1/SAMSN1/LILRB2/VSIG4/LGALS3/ZAP70/SPTA1/VCAM1/GRAP2/TBC1D10C/CD3E/RUNX1/NFATC2/HHLA2/HAVCR2/MZB1",57
"GO:0007159","BP","GO:0007159","leukocyte cell-cell adhesion","51/412","322/14417",6.68736461691377e-24,8.96998507282033e-21,6.91262321453613e-21,"PAG1/CAV1/LAPTM5/CD300A/LILRB4/LGALS1/HLA-DPB1/NCKAP1L/LGALS9/SASH3/RASAL3/HLA-DRA/HLA-DPA1/ITGB2/HLA-DMB/CCDC88B/HLA-E/STK10/VAV1/FERMT3/HLA-A/PTPRC/CCL5/TNFAIP8L2/CORO1A/PYCARD/SIRPA/JAK3/CD276/RAC2/PTPN6/ADA/ANXA1/AIF1/ADD2/TNIP1/ICAM1/LILRB2/VSIG4/LGALS3/ZAP70/SPTA1/VCAM1/GRAP2/CD3E/RUNX1/HHLA2/S100A9/S100A8/HAVCR2/CD44",51
"GO:0070663","BP","GO:0070663","regulation of leukocyte proliferation","42/412","217/14417",2.71461409555597e-23,2.73090178012931e-20,2.10454029618629e-20,"ENPP3/TYROBP/CD300A/LILRB4/CD40/BTK/HLA-DPB1/NCKAP1L/LGALS9/SASH3/RASAL3/HLA-DPA1/MNDA/HLA-DMB/CCDC88B/INPP5D/HLA-E/HLA-A/PTPRC/CCL5/CORO1A/PYCARD/AHR/JAK3/CD276/RAC2/PTPN6/CSF1R/ADA/ANXA1/AIF1/LILRB2/VSIG4/LGALS3/ZAP70/SPTA1/VCAM1/CD3E/NFATC2/HHLA2/HAVCR2/MZB1",42
"GO:0070661","BP","GO:0070661","leukocyte proliferation","46/412","268/14417",3.96569257281231e-23,3.19158938259935e-20,2.45956427779054e-20,"TREM2/ENPP3/TYROBP/CD300A/LILRB4/CD40/BTK/HLA-DPB1/NCKAP1L/LGALS9/SASH3/DOCK2/RASAL3/HLA-DPA1/MNDA/HLA-DMB/CCDC88B/INPP5D/HLA-E/HLA-A/PIK3CG/PTPRC/CCL5/CORO1A/PYCARD/CD180/AHR/JAK3/CD276/RAC2/PTPN6/CSF1R/ADA/ANXA1/AIF1/LILRB2/VSIG4/LGALS3/ZAP70/SPTA1/VCAM1/CD3E/NFATC2/HHLA2/HAVCR2/MZB1",46
"GO:0050670","BP","GO:0050670","regulation of lymphocyte proliferation","40/412","199/14417",7.18893623828302e-23,4.82137990380848e-20,3.7155449399968e-20,"TYROBP/CD300A/LILRB4/CD40/BTK/HLA-DPB1/NCKAP1L/LGALS9/SASH3/RASAL3/HLA-DPA1/MNDA/HLA-DMB/CCDC88B/INPP5D/HLA-E/HLA-A/PTPRC/CCL5/CORO1A/PYCARD/AHR/JAK3/CD276/RAC2/PTPN6/ADA/ANXA1/AIF1/LILRB2/VSIG4/LGALS3/ZAP70/SPTA1/VCAM1/CD3E/NFATC2/HHLA2/HAVCR2/MZB1",40
"GO:0032944","BP","GO:0032944","regulation of mononuclear cell proliferation","40/412","201/14417",1.06550111018911e-22,5.85483943004201e-20,4.51196948856958e-20,"TYROBP/CD300A/LILRB4/CD40/BTK/HLA-DPB1/NCKAP1L/LGALS9/SASH3/RASAL3/HLA-DPA1/MNDA/HLA-DMB/CCDC88B/INPP5D/HLA-E/HLA-A/PTPRC/CCL5/CORO1A/PYCARD/AHR/JAK3/CD276/RAC2/PTPN6/ADA/ANXA1/AIF1/LILRB2/VSIG4/LGALS3/ZAP70/SPTA1/VCAM1/CD3E/NFATC2/HHLA2/HAVCR2/MZB1",40
"GO:0042110","BP","GO:0042110","T cell activation","56/412","415/14417",1.16398398211571e-22,5.85483943004201e-20,4.51196948856958e-20,"PAG1/CAV1/LAPTM5/CD300A/CGAS/LILRB4/LGALS1/FCER1G/HLA-DPB1/NCKAP1L/LGALS9/SASH3/DOCK2/RASAL3/HLA-DRA/HLA-DPA1/HLA-DMB/CCDC88B/HLA-E/B2M/VAV1/HLA-A/LCP1/PIK3CG/PTPRC/CCL5/TNFAIP8L2/CORO1A/PYCARD/SIRPA/JAK3/CD276/RAC2/PTPN6/WAS/CD2/ADA/ANXA1/CD8A/AIF1/CD3G/ICAM1/LILRB2/THEMIS/VSIG4/LGALS3/ZAP70/SPTA1/VCAM1/GRAP2/CD3E/RUNX1/NFATC2/HHLA2/HAVCR2/CD44",56
"GO:0046651","BP","GO:0046651","lymphocyte proliferation","43/412","240/14417",1.95995203810431e-22,8.76316333481305e-20,6.753238250591e-20,"TYROBP/CD300A/LILRB4/CD40/BTK/HLA-DPB1/NCKAP1L/LGALS9/SASH3/DOCK2/RASAL3/HLA-DPA1/MNDA/HLA-DMB/CCDC88B/INPP5D/HLA-E/HLA-A/PIK3CG/PTPRC/CCL5/CORO1A/PYCARD/CD180/AHR/JAK3/CD276/RAC2/PTPN6/ADA/ANXA1/AIF1/LILRB2/VSIG4/LGALS3/ZAP70/SPTA1/VCAM1/CD3E/NFATC2/HHLA2/HAVCR2/MZB1",43
"GO:0032943","BP","GO:0032943","mononuclear cell proliferation","43/412","243/14417",3.26345614842883e-22,1.31321475412776e-19,1.01201492771277e-19,"TYROBP/CD300A/LILRB4/CD40/BTK/HLA-DPB1/NCKAP1L/LGALS9/SASH3/DOCK2/RASAL3/HLA-DPA1/MNDA/HLA-DMB/CCDC88B/INPP5D/HLA-E/HLA-A/PIK3CG/PTPRC/CCL5/CORO1A/PYCARD/CD180/AHR/JAK3/CD276/RAC2/PTPN6/ADA/ANXA1/AIF1/LILRB2/VSIG4/LGALS3/ZAP70/SPTA1/VCAM1/CD3E/NFATC2/HHLA2/HAVCR2/MZB1",43
"GO:0002250","BP","GO:0002250","adaptive immune response","52/412","366/14417",4.05546131514645e-22,1.48356148474085e-19,1.14329081669105e-19,"PAG1/SLC15A4/LAIR1/HLA-B/C1QC/LILRB4/BTN3A2/CD40/BTK/HLA-F/CD84/FCER1G/HLA-DPB1/SASH3/HLA-DRA/HLA-DMA/PRF1/HLA-DPA1/HLA-DMB/INPP5D/HLA-E/B2M/HLA-DQA1/HLA-A/PIK3CG/PTPRC/BTN3A3/PYCARD/HLA-DQB1/CRACR2A/MYO1G/JAK3/PTPN6/WAS/CD48/HLA-C/ADA/ANXA1/CD8A/CD3G/SH2D1A/ICAM1/SAMSN1/LILRB2/THEMIS/UNC13D/ZAP70/TRAT1/CD3E/HLA-DOB/HLA-DRB5/HAVCR2",52
"GO:0050900","BP","GO:0050900","leukocyte migration","54/412","405/14417",1.27504864037459e-21,4.27566310738945e-19,3.29499411802064e-19,"VEGFA/SLC16A3/TREM2/CAV1/CXCR4/CD300A/CD84/FCER1G/NCKAP1L/LGALS9/ITGB2/MMP14/INPP5D/STK10/VAV1/PIK3CG/IL16/CCL5/PDGFD/CAMK1D/CORO1A/PYCARD/SIRPA/DOK2/FN1/MYO1G/RAC2/PTPN6/CD48/CD2/HMOX1/HSD3B7/CSF1R/ADA/ANXA1/AIF1/GYPC/ADD2/ICAM1/LGALS3/ZAP70/SLC16A1/VCAM1/CXCL16/TNFRSF10B/ADGRE2/STK39/C5AR1/COL1A1/S100A9/S100A8/CD44/TRIM55/S100A12",54
"GO:0002429","BP","GO:0002429","immune response-activating cell surface receptor signaling pathway","49/412","338/14417",2.88396391099186e-21,7.87060686598716e-19,6.06539913864136e-19,"PAG1/FCGR3A/ELMO1/TYROBP/LAPTM5/CD300A/PSMB8/PSMB9/LILRB4/BTN3A2/BTK/FCER1G/HLA-DPB1/NCKAP1L/HLA-DRA/HLA-DPA1/LCP2/MNDA/INPP5D/VAV1/HLA-DQA1/HLA-A/PTPRC/BTN3A3/FYB1/ICAM3/HLA-DQB1/THEMIS2/MYO1G/CD276/PTPN6/WAS/ADA/CD3G/CARD9/SH2D1A/THEMIS/PRAM1/LGALS3/ZAP70/TRAT1/GRAP2/CD3E/RUNX1/C5AR1/NFATC2/HLA-DRB5/HHLA2/FCN1",49
"GO:0002757","BP","GO:0002757","immune response-activating signal transduction","49/412","338/14417",2.88396391099186e-21,7.87060686598716e-19,6.06539913864136e-19,"PAG1/FCGR3A/ELMO1/TYROBP/LAPTM5/CD300A/PSMB8/PSMB9/LILRB4/BTN3A2/BTK/FCER1G/HLA-DPB1/NCKAP1L/HLA-DRA/HLA-DPA1/LCP2/MNDA/INPP5D/VAV1/HLA-DQA1/HLA-A/PTPRC/BTN3A3/FYB1/ICAM3/HLA-DQB1/THEMIS2/MYO1G/CD276/PTPN6/WAS/ADA/CD3G/CARD9/SH2D1A/THEMIS/PRAM1/LGALS3/ZAP70/TRAT1/GRAP2/CD3E/RUNX1/C5AR1/NFATC2/HLA-DRB5/HHLA2/FCN1",49
"GO:0050867","BP","GO:0050867","positive regulation of cell activation","47/412","310/14417",2.93387432877255e-21,7.87060686598716e-19,6.06539913864136e-19,"TREM2/CAV1/TYROBP/LILRB4/CD40/BTK/HLA-F/LGALS1/HLA-DPB1/NCKAP1L/LGALS9/SASH3/RASAL3/HLA-DRA/HLA-DPA1/ITGB2/MMP14/HLA-DMB/CCDC88B/INPP5D/HLA-E/VAV1/HLA-A/PLEK/PTPRC/CCL5/CORO1A/PYCARD/SIRPA/JAK3/CD276/PTPN6/CD2/ADA/ANXA1/AIF1/LILRB2/ZAP70/SPTA1/VCAM1/GRAP2/CD3E/RUNX1/HAVCR1/NFATC2/HHLA2/HAVCR2",47
"GO:0002768","BP","GO:0002768","immune response-regulating cell surface receptor signaling pathway","51/412","368/14417",3.26861824288844e-21,8.22057488086443e-19,6.3350982523351e-19,"PAG1/FCGR3A/ELMO1/TYROBP/LAPTM5/CD300A/PSMB8/PSMB9/LILRB4/BTN3A2/CD40/BTK/FCER1G/HLA-DPB1/NCKAP1L/HLA-DRA/HLA-DPA1/LCP2/MNDA/INPP5D/VAV1/HLA-DQA1/HLA-A/PTPRC/BTN3A3/FYB1/ICAM3/HLA-DQB1/THEMIS2/MYO1G/CD276/PTPN6/WAS/ADA/CD3G/CARD9/SH2D1A/LILRB2/THEMIS/PRAM1/LGALS3/ZAP70/TRAT1/GRAP2/CD3E/RUNX1/C5AR1/NFATC2/HLA-DRB5/HHLA2/FCN1",51
"GO:0002253","BP","GO:0002253","activation of immune response","54/412","416/14417",4.54549857342164e-21,1.05648471750312e-18,8.14168666360834e-19,"PAG1/FCGR3A/ELMO1/TYROBP/LAPTM5/CD300A/CGAS/PSMB8/PSMB9/C1QC/LILRB4/BTN3A2/BTK/FCER1G/HLA-DPB1/NCKAP1L/IFI16/HLA-DRA/HLA-DPA1/LCP2/MNDA/INPP5D/VAV1/HLA-DQA1/HLA-A/PTPRC/BTN3A3/FYB1/PYCARD/ICAM3/HLA-DQB1/THEMIS2/MYO1G/CD276/PTPN6/WAS/ADA/CD3G/CARD9/SH2D1A/THEMIS/PRAM1/VSIG4/LGALS3/ZAP70/TRAT1/GRAP2/CD3E/RUNX1/C5AR1/NFATC2/HLA-DRB5/HHLA2/FCN1",54
